,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
164,1.0,Lebanon,LBN,6224.0,6855713.0,27563.004999999997,2020-03-29,,1.0,2021-04-01,2020-03-29,EPI_FIRST_WAVE,33677.8,9.093146110404563,,-11.0,-29.0,-11.0,-11.0,-11.0,230.0,-11.0,145.0,-13.0,,,405.0,405.0,405.0,405.0
165,1.0,Libya,LBY,2657.0,6777452.0,23960.155,2020-06-16,,1.0,2021-04-01,2020-06-16,EPI_FIRST_WAVE,37519.635,3.935107175971147,,-86.0,-93.0,-61.0,-94.0,-86.0,-86.0,-86.0,-86.0,-92.0,,,,,,
166,2.0,Saint Lucia,LCA,60.0,182790.0,,2021-01-24,,1.0,2021-04-01,2020-09-27,EPI_FIRST_WAVE,,3.282455276546857,,,,,,,,,,,,,,,,
167,2.0,Sri Lanka,LKA,571.0,21803000.0,24172.905,2020-05-25,2454706.3333333335,1.0,2021-04-01,2020-02-22,EPI_FIRST_WAVE,28238.645,0.26189056551850665,1120.9200568729075,-70.0,-68.0,-70.0,-72.0,-72.0,-63.0,-68.0,-68.0,-67.0,223.0,-109.0,-57.0,-25.0,94.0,285.0
168,2.0,Lesotho,LSO,304.0,2125268.0,15164.875000000002,2020-07-26,,1.0,2021-04-01,2020-07-26,EPI_FIRST_WAVE,27469.725,1.4821660138862487,,-130.0,-130.0,-119.0,-130.0,-130.0,,-130.0,-130.0,-119.0,303.0,,,,,
169,2.0,Lithuania,LTU,3321.0,2786844.0,19715.19,2020-04-06,2177419.7662337665,1.0,2021-03-06,2020-03-08,EPI_FIRST_WAVE,24444.060000000005,12.856837340016162,8580.150162692997,-21.0,-21.0,-21.0,-25.0,-21.0,,254.0,4.0,-21.0,412.0,1.0,-16.0,-10.0,3.0,52.0
170,6.0,Luxembourg,LUX,110.0,619896.0,5941.160000000002,2020-03-28,87976.98113207547,1.0,2020-06-07,2020-01-09,EPI_THIRD_WAVE,24230.095,12.034276717384852,38912.8821608786,-12.0,-12.0,-12.0,-15.0,-15.0,,-11.0,-13.0,,44.0,-27.0,-18.0,-12.0,-4.0,52.0
171,6.0,Luxembourg,LUX,14.0,619896.0,3045.48,2020-08-11,591817.0,2.0,2020-09-04,2020-06-07,EPI_THIRD_WAVE,24230.095,12.034276717384852,38912.8821608786,-12.0,-12.0,-12.0,-15.0,-15.0,,-11.0,-13.0,,44.0,-27.0,-18.0,-12.0,-4.0,52.0
172,6.0,Luxembourg,LUX,436.0,619896.0,8170.6849999999995,2020-10-21,1113800.0,3.0,2021-01-20,2020-09-04,EPI_THIRD_WAVE,24230.095,12.034276717384852,38912.8821608786,-12.0,-12.0,-12.0,-15.0,-15.0,,-11.0,-13.0,,44.0,-27.0,-18.0,-12.0,-4.0,52.0
173,2.0,Latvia,LVA,1899.0,1912789.0,20732.67,2020-04-23,1857753.7894736843,1.0,2021-04-01,2020-01-09,EPI_FIRST_WAVE,24117.769999999997,9.927911546961008,9617.32841416382,-37.0,-41.0,240.0,-41.0,184.0,,,,-37.0,48.0,34.0,-51.0,-37.0,-19.0,95.0
