,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
103,4.0,Ghana,GHA,440.0,30417856.0,7252.419999999998,2020-10-24,,2.0,2021-04-01,2020-10-08,EPI_SECOND_WAVE,21855.735,0.24426442152924913,331.22419936500455,-26.0,-40.0,-26.0,-40.0,,-26.0,-26.0,-26.0,-34.0,-35.0,-44.0,-27.0,-14.0,67.0,
104,2.0,Gibraltar,GIB,94.0,33701.0,1718.0449999999998,2021-01-07,,1.0,2021-03-26,2020-07-23,EPI_FIRST_WAVE,10537.119999999997,27.89234740808878,,-296.0,-295.0,-289.0,-296.0,-289.0,-300.0,-296.0,,,-185.0,-310.0,,,,
105,3.0,Guinea,GIN,81.0,12771246.0,18524.239999999998,2020-05-06,,1.0,2021-01-02,2020-01-09,EPI_SECOND_WAVE,26773.825,0.09787611952663038,,-40.0,-40.0,70.0,-40.0,300.0,,-37.0,-40.0,-40.0,321.0,202.0,,,,
106,3.0,Guinea,GIN,44.0,12771246.0,4701.025,2021-03-03,,2.0,2021-04-01,2021-01-02,EPI_SECOND_WAVE,26773.825,0.09787611952663038,,-40.0,-40.0,70.0,-40.0,300.0,,-37.0,-40.0,-40.0,321.0,202.0,,,,
107,2.0,Gambia,GMB,122.0,2347706.0,11971.84,2020-08-05,27765.0,1.0,2020-12-27,2020-06-16,EPI_FIRST_WAVE,25841.324999999997,0.6985542482746988,244.28101303996326,-131.0,-140.0,-131.0,-131.0,-79.0,,1.0,,-135.0,160.0,-57.0,-117.0,-48.0,105.0,
108,2.0,Guinea-Bissau,GNB,26.0,1920922.0,,2020-06-06,,1.0,2020-07-28,2020-01-09,EPI_FIRST_WAVE,,0.3279675072699464,,,,,,,,,,,,,,,,
109,5.0,Greece,GRC,179.0,10716322.0,6670.825,2020-03-22,,1.0,2020-06-04,2020-01-09,EPI_THIRD_WAVE,31553.879999999997,7.552031377929853,6098.870489333934,-4.0,-17.0,343.0,-22.0,-4.0,343.0,1.0,-1.0,,93.0,69.0,-10.0,4.0,52.0,172.0
110,5.0,Greece,GRC,5419.0,10716322.0,14686.704999999998,2020-06-20,3767698.0,2.0,2021-01-23,2020-06-04,EPI_THIRD_WAVE,31553.879999999997,7.552031377929853,6098.870489333934,-4.0,-17.0,343.0,-22.0,-4.0,343.0,1.0,-1.0,,93.0,69.0,-10.0,4.0,52.0,172.0
111,5.0,Greece,GRC,2495.0,10716322.0,5740.75,2021-01-24,,3.0,2021-04-01,2021-01-23,EPI_THIRD_WAVE,31553.879999999997,7.552031377929853,6098.870489333934,-4.0,-17.0,343.0,-22.0,-4.0,343.0,1.0,-1.0,,93.0,69.0,-10.0,4.0,52.0,172.0
112,2.0,Guatemala,GTM,4768.0,16604026.0,23257.424999999996,2020-04-24,598979.8666666667,1.0,2020-12-28,2020-01-09,EPI_FIRST_WAVE,31288.684999999998,4.119482829043992,634.5424898756482,-38.0,-39.0,-38.0,-38.0,-33.0,-38.0,-33.0,-49.0,-6.0,382.0,,-13.0,28.0,104.0,
