,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth
23690,Costa Rica,CRI,2020-01-03,0.0,,0.0,
23691,Costa Rica,CRI,2020-01-04,0.0,,0.0,
23692,Costa Rica,CRI,2020-01-05,0.0,,0.0,
23693,Costa Rica,CRI,2020-01-06,0.0,,0.0,
23694,Costa Rica,CRI,2020-01-07,0.0,,0.0,
23695,Costa Rica,CRI,2020-01-08,0.0,,0.0,
23696,Costa Rica,CRI,2020-01-09,0.0,0.0,0.0,0.0
23697,Costa Rica,CRI,2020-01-10,0.0,0.0,0.0,0.0
23698,Costa Rica,CRI,2020-01-11,0.0,0.0,0.0,0.0
23699,Costa Rica,CRI,2020-01-12,0.0,0.0,0.0,0.0
23700,Costa Rica,CRI,2020-01-13,0.0,0.0,0.0,0.0
23701,Costa Rica,CRI,2020-01-14,0.0,0.0,0.0,0.0
23702,Costa Rica,CRI,2020-01-15,0.0,0.0,0.0,0.0
23703,Costa Rica,CRI,2020-01-16,0.0,0.0,0.0,0.0
23704,Costa Rica,CRI,2020-01-17,0.0,0.0,0.0,0.0
23705,Costa Rica,CRI,2020-01-18,0.0,0.0,0.0,0.0
23706,Costa Rica,CRI,2020-01-19,0.0,0.0,0.0,0.0
23707,Costa Rica,CRI,2020-01-20,0.0,0.0,0.0,0.0
23708,Costa Rica,CRI,2020-01-21,0.0,0.0,0.0,0.0
23709,Costa Rica,CRI,2020-01-22,0.0,0.0,0.0,0.0
23710,Costa Rica,CRI,2020-01-23,0.0,0.0,0.0,0.0
23711,Costa Rica,CRI,2020-01-24,0.0,0.0,0.0,0.0
23712,Costa Rica,CRI,2020-01-25,0.0,0.0,0.0,0.0
23713,Costa Rica,CRI,2020-01-26,0.0,0.0,0.0,0.0
23714,Costa Rica,CRI,2020-01-27,0.0,0.0,0.0,0.0
23715,Costa Rica,CRI,2020-01-28,0.0,0.0,0.0,0.0
23716,Costa Rica,CRI,2020-01-29,0.0,0.0,0.0,0.0
23717,Costa Rica,CRI,2020-01-30,0.0,0.0,0.0,0.0
23718,Costa Rica,CRI,2020-01-31,0.0,0.0,0.0,0.0
23719,Costa Rica,CRI,2020-02-01,0.0,0.0,0.0,0.0
23720,Costa Rica,CRI,2020-02-02,0.0,0.0,0.0,0.0
23721,Costa Rica,CRI,2020-02-03,0.0,0.0,0.0,0.0
23722,Costa Rica,CRI,2020-02-04,0.0,0.0,0.0,0.0
23723,Costa Rica,CRI,2020-02-05,0.0,0.0,0.0,0.0
23724,Costa Rica,CRI,2020-02-06,0.0,0.0,0.0,0.0
23725,Costa Rica,CRI,2020-02-07,0.0,0.0,0.0,0.0
23726,Costa Rica,CRI,2020-02-08,0.0,0.0,0.0,0.0
23727,Costa Rica,CRI,2020-02-09,0.0,0.0,0.0,0.0
23728,Costa Rica,CRI,2020-02-10,0.0,0.0,0.0,0.0
23729,Costa Rica,CRI,2020-02-11,0.0,0.0,0.0,0.0
23730,Costa Rica,CRI,2020-02-12,0.0,0.0,0.0,0.0
23731,Costa Rica,CRI,2020-02-13,0.0,0.0,0.0,0.0
23732,Costa Rica,CRI,2020-02-14,0.0,0.0,0.0,0.0
23733,Costa Rica,CRI,2020-02-15,0.0,0.0,0.0,0.0
23734,Costa Rica,CRI,2020-02-16,0.0,0.0,0.0,0.0
23735,Costa Rica,CRI,2020-02-17,0.0,0.0,0.0,0.0
23736,Costa Rica,CRI,2020-02-18,0.0,0.0,0.0,0.0
23737,Costa Rica,CRI,2020-02-19,0.0,0.0,0.0,0.0
23738,Costa Rica,CRI,2020-02-20,0.0,0.0,0.0,0.0
23739,Costa Rica,CRI,2020-02-21,0.0,0.0,0.0,0.0
23740,Costa Rica,CRI,2020-02-22,0.0,0.0,0.0,0.0
23741,Costa Rica,CRI,2020-02-23,0.0,0.0,0.0,0.0
23742,Costa Rica,CRI,2020-02-24,0.0,0.0,0.0,0.0
23743,Costa Rica,CRI,2020-02-25,0.0,0.0,0.0,0.0
23744,Costa Rica,CRI,2020-02-26,0.0,0.0,0.0,0.0
23745,Costa Rica,CRI,2020-02-27,0.0,0.0,0.0,0.0
23746,Costa Rica,CRI,2020-02-28,0.0,0.0,0.0,0.0
23747,Costa Rica,CRI,2020-02-29,0.0,0.0,0.0,0.0
23748,Costa Rica,CRI,2020-03-01,0.0,0.0,0.0,0.0
23749,Costa Rica,CRI,2020-03-02,0.0,0.0,0.0,0.0
23750,Costa Rica,CRI,2020-03-03,0.0,0.0,0.0,0.0
23751,Costa Rica,CRI,2020-03-04,0.0,0.0,0.0,0.0
23752,Costa Rica,CRI,2020-03-05,0.0,0.0,0.0,0.0
23753,Costa Rica,CRI,2020-03-06,0.0,0.0,0.0,0.0
23754,Costa Rica,CRI,2020-03-07,0.0,0.0,0.0,0.0
23755,Costa Rica,CRI,2020-03-08,9.0,1.2857142857142858,0.0,0.0
23756,Costa Rica,CRI,2020-03-09,4.0,1.8571428571428572,0.0,0.0
23757,Costa Rica,CRI,2020-03-10,0.0,1.8571428571428572,0.0,0.0
23758,Costa Rica,CRI,2020-03-11,4.0,2.4285714285714284,0.0,0.0
23759,Costa Rica,CRI,2020-03-12,0.0,2.4285714285714284,0.0,0.0
23760,Costa Rica,CRI,2020-03-13,9.0,3.7142857142857144,0.0,0.0
23761,Costa Rica,CRI,2020-03-14,1.0,3.857142857142857,0.0,0.0
23762,Costa Rica,CRI,2020-03-15,0.0,2.5714285714285716,0.0,0.0
23763,Costa Rica,CRI,2020-03-16,4.0,2.5714285714285716,0.0,0.0
23764,Costa Rica,CRI,2020-03-17,14.0,4.571428571428571,0.0,0.0
23765,Costa Rica,CRI,2020-03-18,9.0,5.285714285714286,0.0,0.0
23766,Costa Rica,CRI,2020-03-19,33.0,10.0,1.0,0.14285714285714285
23767,Costa Rica,CRI,2020-03-20,26.0,12.428571428571429,1.0,0.2857142857142857
23768,Costa Rica,CRI,2020-03-21,0.0,12.285714285714286,0.0,0.2857142857142857
23769,Costa Rica,CRI,2020-03-22,0.0,12.285714285714286,0.0,0.2857142857142857
23770,Costa Rica,CRI,2020-03-23,4.0,12.285714285714286,0.0,0.2857142857142857
23771,Costa Rica,CRI,2020-03-24,41.0,16.142857142857142,0.0,0.2857142857142857
23772,Costa Rica,CRI,2020-03-25,19.0,17.571428571428573,0.0,0.2857142857142857
23773,Costa Rica,CRI,2020-03-26,24.0,16.285714285714285,0.0,0.14285714285714285
23774,Costa Rica,CRI,2020-03-27,0.0,12.571428571428571,0.0,0.0
23775,Costa Rica,CRI,2020-03-28,30.0,16.857142857142858,0.0,0.0
23776,Costa Rica,CRI,2020-03-29,32.0,21.428571428571427,0.0,0.0
23777,Costa Rica,CRI,2020-03-30,32.0,25.428571428571427,0.0,0.0
23778,Costa Rica,CRI,2020-03-31,19.0,22.285714285714285,0.0,0.0
23779,Costa Rica,CRI,2020-04-01,0.0,19.571428571428573,0.0,0.0
23780,Costa Rica,CRI,2020-04-02,33.0,20.857142857142858,0.0,0.0
23781,Costa Rica,CRI,2020-04-03,28.0,24.857142857142858,0.0,0.0
23782,Costa Rica,CRI,2020-04-04,21.0,23.571428571428573,0.0,0.0
23783,Costa Rica,CRI,2020-04-05,20.0,21.857142857142858,0.0,0.0
23784,Costa Rica,CRI,2020-04-06,19.0,20.0,0.0,0.0
23785,Costa Rica,CRI,2020-04-07,19.0,20.0,0.0,0.0
