,class,country,countrycode,date_peak_1,date_peak_2,date_peak_3,dead_first_wave,duration_first_wave,duration_second_wave,duration_third_wave,first_wave_end,first_wave_start,last_confirmed,last_dead,last_tests,peak_1,peak_1_cfr,peak_1_dead_per_10k,peak_1_per_10k,peak_2,peak_2_cfr,peak_2_dead_per_10k,peak_2_per_10k,peak_3,peak_3_cfr,peak_3_dead_per_10k,peak_3_per_10k,population,second_wave_end,second_wave_start,t0,t0_10_dead,t0_1_dead,t0_5_dead,t0_relative,testing_available,tests_first_wave,third_wave_end,third_wave_start,dead_second_wave,tests_second_wave,dead_third_wave,tests_third_wave
14,6.0,Belgium,BEL,2020-04-06,2020-08-05,2020-10-23,9615.0,132.0,309.0,251.0,2020-06-25,2020-02-14,991914.0,24228.0,,1384.857142857143,0.15776768592326101,0.1971677873613209,1.2058956029530885,583.7142857142857,0.013941764710282049,0.003234298089207788,0.5082823843270392,13680.857142857143,0.018898673669309758,0.03943355747226419,11.912915031195118,11484055.0,2020-08-22,2020-06-25,2020-03-13,2020-03-15,2020-03-10,2020-03-13,2020-03-04,1.0,,2020-12-28,2020-08-22,260.0,923508.0,9539.0,4721991.0
15,4.0,Benin,BEN,2020-06-22,2021-02-16,,21.0,113.0,303.0,,2020-07-01,2020-03-10,7821.0,99.0,,42.142857142857146,0.023495827843653932,0.0007263214047026913,0.03571080239788233,120.85714285714286,0.010943479002656659,0.00084737497215314,0.1024113180630795,,,,,11801151.0,2021-03-25,2020-07-01,2020-06-26,2020-06-19,2020-04-07,2020-06-12,2020-04-27,0.0,,,,69.0,,,
16,2.0,Burkina Faso,BFA,2021-01-07,,,145.0,448.0,,,2021-03-26,2020-01-03,13304.0,157.0,,146.57142857142858,0.012259951961933819,0.000492092613010791,0.07212671727843879,,,,,,,,,20321378.0,,,2020-07-06,2020-03-30,2020-03-18,2020-03-30,2020-03-25,0.0,,,,,,,
17,3.0,Bangladesh,BGD,2020-06-27,,,8285.0,410.0,73.0,,2021-02-16,2020-01-03,756955.0,11393.0,,3562.714285714286,0.01563995612473233,0.0023919606423606628,0.21850954747191415,,,,,,,,,163046161.0,2021-04-30,2021-02-16,2020-04-15,2020-04-07,2020-03-19,2020-03-26,2020-04-15,1.0,,,,,,,
18,3.0,Bulgaria,BGR,2020-11-14,,,8457.0,379.0,104.0,,2021-01-16,2020-01-03,403728.0,16368.0,,3250.4285714285716,0.04369896765997254,0.09809477622380043,4.6596042660128,,,,,,,,,6975761.0,2021-04-30,2021-01-16,2020-04-23,2020-04-02,2020-03-12,2020-03-29,2020-03-15,1.0,,,,,,,
19,3.0,Bahrain,BHR,2020-09-13,,,337.0,319.0,164.0,,2020-11-17,2020-01-03,175752.0,639.0,,687.8571428571429,0.0040423233113520375,0.013927329284890832,4.191255656671835,,,,,,,,,1641172.0,2021-04-30,2020-11-17,2020-04-12,2020-05-14,2020-03-16,2020-04-08,2020-02-25,1.0,,,,,,,
20,2.0,Bahamas,BHS,2020-10-16,,,164.0,262.0,,,2021-01-12,2020-04-25,10389.0,198.0,,96.0,0.0224382136146842,0.03667875353858275,2.464812237792761,,,,,,,,,389482.0,,,2020-08-14,2020-04-25,2020-04-03,2020-04-07,2020-03-17,0.0,,,,,,,
21,3.0,Bosnia and Herzegovina,BIH,2020-11-01,,,4705.0,395.0,88.0,,2021-02-01,2020-01-03,197866.0,8512.0,,1476.0,0.04096052025036341,0.06881031721989007,4.471372311420781,,,,,,,,,3301000.0,2021-04-30,2021-02-01,2020-04-13,2020-03-31,2020-03-21,2020-03-28,2020-03-16,1.0,,,,,,,
22,3.0,Belarus,BLR,2020-05-15,,,592.0,222.0,261.0,,2020-08-12,2020-01-03,357233.0,2532.0,,943.4285714285714,0.009770639436379626,0.005281584509154887,0.9965595456702536,,,,,,,,,9466856.0,2021-04-30,2020-08-12,2020-04-09,2020-04-07,2020-04-01,2020-04-06,2020-03-22,1.0,,,,,,,
23,2.0,Belize,BLZ,2020-12-04,,,314.0,241.0,,,2021-03-25,2020-07-27,12639.0,323.0,,224.57142857142858,0.025558034424163954,0.11345042637232014,5.753034524428621,,,,,,,,,390353.0,,,2020-09-02,2020-08-26,2020-04-07,2020-08-21,2020-03-26,0.0,,,,,,,
