,countrycode,country,days_to_t0,geometry
0,ABW,Aruba,229.0,"POLYGON ((-69.97819519042969 12.46986103057873, -70.06346893310547 12.53930664062506, -70.05625152587885 12.62319469451904, -69.86624908447266 12.41569519042974, -69.97819519042969 12.46986103057873))"
1,AFG,Afghanistan,112.0,"POLYGON ((68.52643585 31.75434685, 68.58202362 31.7503376, 68.53714752 31.71401978, 68.28660583 31.75699806, 68.16887665 31.83423615, 68.05350494 31.67679214, 67.86110687 31.60847092, 67.72963715 31.50452805, 67.55948639 31.53237534, 67.60539246 31.41853523, 67.75032043 31.41363716, 67.78984833 31.3566227, 67.45614624 31.21231079, 67.06575775 31.20221519, 67.01423645 31.23434448, 67.04057312 31.29299355, 66.98565674 31.31287384, 66.7303009 31.21204567, 66.69683838 31.06212616, 66.5930481 30.96088982, 66.456604 30.93583679, 66.48236847 30.91995049, 66.35909271 30.78650284, 66.38514709 30.75825882, 66.29446411000001 30.5384407, 66.38008118 30.43526077, 66.30303192 30.14787865, 66.23822020999999 30.06640625, 66.36194611000001 29.96813583, 66.26650238000001 29.84199524, 65.06704712 29.5362339, 64.48761749000001 29.57178307, 64.18866730000001 29.4618721, 64.13938141 29.36166191, 63.6648941 29.4764061, 62.39667511 29.3880024, 60.86578369 29.85316658, 61.80298996 30.82942963, 61.78551483 30.94227028, 61.83931351 31.03857613, 61.77759933 31.30361938, 61.70648193 31.3771801, 60.830616 31.50647926, 60.77719498 31.80513763, 60.88019562 32.20041656, 60.58412552 33.12753296, 60.63677597 33.22653198, 60.86833191 33.41887283, 60.85355377 33.48427963, 60.94883728 33.51247025, 60.67214584 33.53176117, 60.53175354 33.65017319, 60.5627327 33.79396057, 60.51660156 34.12395477, 60.68704987 34.3120842, 60.93465424 34.30588913, 60.72544479 34.51462555, 60.99028778 34.63828278, 61.12154007 35.07793045, 61.09186554 35.26324844, 61.19090652 35.29158783, 61.18733215 35.39929581, 61.27898788 35.52132034, 61.28610992 35.61458588, 61.37210464 35.62337875, 61.40237045 35.55253601, 61.58953476 35.43519974, 62.06748962 35.4309845, 62.26661301 35.29468155, 62.30745316 35.12981415, 62.48008347 35.27893448, 62.62992477 35.20880127, 62.71530151 35.24000549, 62.9406662 35.38393021, 63.09814835 35.41837311, 63.12911987 35.54045105, 63.09596634 35.61976624, 63.24592209 35.68211365, 63.12969971 35.76504135, 63.12017059 35.86209106, 63.30718994 35.85713577, 64.00254059 36.03207397, 64.06941986 36.00292969, 64.05647277999999 36.09566116, 64.09364318999999 36.12643433, 64.27886963 36.14771652, 64.31150818 36.20367813, 64.49222564999999 36.27521133, 64.63525391 36.43827438, 64.61685944 36.63091278, 64.79613495 36.91607666, 64.75370026 37.11155701, 65.13097381999999 37.24715424, 65.53015137 37.23975372, 65.64439392 37.34321594, 65.70708466000001 37.54018402, 66.07310486 37.45096588, 66.14805603000001 37.37171173, 66.29933167 37.3197403, 66.98949432000001 37.3910141, 67.27584075999999 37.17716599, 67.50672913 37.27300262, 67.57242583999999 37.21935272, 67.6503067 37.25065994, 67.77796936 37.20427704, 67.78779602 37.08802795, 67.89230347 37.0639267, 68.02835082999999 36.93014526, 68.20475768999999 37.02427673, 68.27140808 37.01047897, 68.30648041000001 37.10390472, 68.39225005999999 37.09793091, 68.43993378 37.15382767, 68.64439392 37.20763016, 68.68083953999999 37.27843857, 68.7865448 37.28688812, 68.82358551 37.24427414, 68.83465576 37.31857681, 68.91152191 37.2685051, 68.90650177000001 37.33546448, 69.25197601000001 37.09565735, 69.45040894 37.23126602, 69.38253021 37.32816315, 69.37696074999999 37.43494797, 69.53464508 37.59199524, 69.81011963 37.57195282, 69.90511322 37.61556625, 70.17280579 37.52771378, 70.30528259 37.69603348, 70.28096008 37.81413269, 70.18693542 37.84736252, 70.18247986 37.94618225, 70.27131652999999 37.93981934, 70.26207733 37.97944641, 70.50403595 38.1209259, 70.54475402999999 38.24359512, 70.61048126 38.34716797, 70.69260405999999 38.37028122, 70.68727112000001 38.4148407, 70.8741684 38.46909332, 70.92612457 38.43021011, 70.98921967 38.49092484, 71.05587769 38.39871597, 71.10528564000001 38.42206573, 71.37412261999999 38.25563049, 71.37653351 38.16128922, 71.25744629 37.92308044, 71.32961272999999 37.88542557, 71.5140686 37.95604706, 71.59051513999999 37.92188644, 71.59501648 37.8040657, 71.53192138999999 37.76332855, 71.49519348 37.53600311, 71.52648926000001 37.47842026, 71.47673798 37.40145874, 71.5071106 37.31355286, 71.42908478 37.07181168, 71.56731415 36.76245499, 71.67495728 36.6721077, 71.84264374 36.68068695, 72.34297943 36.98918533, 72.66455841 37.01729965, 72.81639862 37.23257065, 73.09386444 37.32428741, 73.14909363 37.40306473, 73.3059082 37.46385193, 73.77579498 37.43964005, 73.77503204 37.33860397, 73.61769867 37.26796722, 73.7594986 37.21957397, 74.20406342 37.33523178, 74.24066925 37.41160965, 74.56743622 37.37314606, 74.69152832 37.40826416, 74.83057404 37.33236313, 74.89290619000001 37.2219429, 74.80614471 37.21377563, 74.74217224 37.27565002, 74.66109467 37.23339462, 74.48911285 37.24192047, 74.43309784 37.1157608, 74.57155609 37.03443909, 74.5584259 36.96028137, 74.42054749 36.99611664, 74.25231934 36.90039825, 74.15203857 36.90984726, 74.11966705 36.84171677, 73.69347381999999 36.91345978, 73.3507309 36.85273743, 72.63159942999999 36.84842682, 72.49522399999999 36.77755737, 72.24136353 36.75348282, 72.21294403 36.66469193, 71.83206939999999 36.50545883, 71.85726929 36.39942551, 71.6519928 36.47503662, 71.57486725 36.37266541, 71.61841583 36.32344055, 71.46482086 36.26069641, 71.22788239 36.06478882, 71.39245605000001 35.96023178, 71.51731873 35.80272675, 71.49512482 35.76795578, 71.57181549000001 35.72068787, 71.52536010999999 35.61789703, 71.63842773 35.57530594, 71.62023163000001 35.51129532, 71.67318726000001 35.44054794, 71.56687164 35.31175232, 71.69029236 35.21546936, 71.5357666 35.09041977, 71.58806610000001 35.02732086, 71.52494812 34.95911407, 71.30986023 34.87882614, 71.24248505 34.74515915, 71.11235809 34.68293381, 71.09806824 34.58052444, 70.99555968999999 34.55477142, 71.00681305000001 34.46111679, 71.16947174000001 34.36360931, 71.12205505 34.2672081, 71.14154816 34.15683746, 71.0652771 34.05179214, 70.76793671 33.95485687, 70.46705627 33.92835236, 69.91201782 34.02246094, 69.87158203 33.93396378, 69.99053954999999 33.74744415, 70.14344788 33.73467636, 70.16523743 33.65877914, 70.21004486 33.6548233, 70.19409942999999 33.53130341, 70.34169769 33.39313889, 70.33278656 33.32673264, 70.15702057 33.19805908, 70.06725311 33.21346283, 70.02307892 33.14326859, 69.87553406000001 33.09570313, 69.78652954 33.1275444, 69.58005523999999 33.09756851, 69.50400543000001 33.01802444, 69.53457641999999 32.86640549, 69.40275574 32.76673508, 69.46580505 32.66376877, 69.24069977000001 32.46138763, 69.32326508 31.94050598, 69.19760895 31.8483963, 69.11794281 31.70326233, 69.02101134999999 31.62671471, 68.94915770999999 31.64575386, 68.84829712 31.59741783, 68.71698761 31.69664383, 68.70184326 31.76987839, 68.57014465 31.82796478, 68.43310547 31.76324654, 68.52643585 31.75434685))"
2,AGO,Angola,212.0,"MULTIPOLYGON (((11.90159512 -17.20843315, 11.80644989 -17.26864815, 11.75180531 -17.24962616, 11.82652855 -16.45513916, 11.80541706 -16.02152824, 11.73513985 -15.86430454, 11.77986145 -15.78236103, 11.88152885 -15.78541756, 11.99513912 -15.63125038, 12.05486202 -15.23347282, 12.15375137 -15.18236065, 12.11763763 -15.11013889, 12.28736115 -14.75486088, 12.35430622 -14.41124916, 12.3609724 -14.05930519, 12.4212513 -13.87791634, 12.5284729 -13.84708309, 12.53069496 -13.41847134, 12.65152836 -13.34041786, 12.65513802 -13.24458218, 12.78347206 -13.19513893, 12.77958298 -13.15458393, 12.97875023 -12.98263931, 12.94013882 -12.83402824, 13.19930458 -12.59791565, 13.3801403 -12.59263802, 13.65208435 -12.24430561, 13.79208279 -11.82236099, 13.76847267 -11.57819462, 13.86513805 -11.02041721, 13.71874905 -10.75597095, 13.78180599 -10.68375015, 13.52986145 -10.3890276, 13.5265274 -10.27236176, 13.31319523 -9.983471870000001, 13.31402683 -9.869584079999999, 13.19708157 -9.691806789999999, 13.23708439 -9.637082100000001, 13.14958286 -9.349305149999999, 13.15288276886407 -9.34491608531566, 12.99319458 -9.08902836, 12.99930573 -9.02902699, 13.01569462 -9.105138780000001, 13.10430622 -8.95902824, 13.14819527 -8.95736217, 13.22513866 -8.794028279999999, 13.39763927 -8.748472209999999, 13.41625118 -8.65819263, 13.34569263 -8.47152805, 13.38513756 -8.46486092, 13.39430523 -8.39264011, 13.09624863 -7.83819485, 13.10766824118359 -7.835019663975593, 13.06930542 -7.77624989, 12.85319519 -7.26930618, 12.82958317 -6.9931941, 12.56236076 -6.66347122, 12.28569508 -6.16402817, 12.34847355 -6.15569305, 12.32124901 -6.12125111, 12.45236111 -6.12152719, 12.45319462 -6.08024311, 13.04724312 -5.87049818, 13.5424242 -5.89567804, 13.98627186 -5.84162903, 14.03813362 -5.88421392, 14.59514141 -5.9102459, 14.9630003 -5.87336493, 16.51168823 -5.87844276, 16.59973717 -5.91855383, 16.60672569 -6.08570623, 16.72946548 -6.18820477, 16.69068909 -6.40564203, 16.73239899 -6.42546511, 16.83265305 -6.76637697, 16.94037056 -6.87482882, 16.9827404 -7.02331209, 16.96368217 -7.07854319, 16.92889023 -7.06859207, 16.95371056 -7.20334387, 17.00551033 -7.30004978, 17.10963058 -7.34621382, 17.11017036 -7.42267895, 17.18526077 -7.43219423, 17.15624619 -7.47505474, 17.30628777 -7.63691521, 17.32144356 -7.75853205, 17.43152428 -7.84246397, 17.53259087 -8.04393864, 17.50548172 -8.08283329, 17.56032944 -8.12744904, 17.88492012 -8.07896519, 18.10036087 -8.099055290000001, 18.09819794 -8.040183069999999, 18.15299988 -8.00899982, 18.52700043 -8, 18.55815887 -7.93358326, 18.77966499 -7.92201757, 18.8001976 -8, 19.4356842 -7.99853516, 19.34337044 -7.90185308, 19.4090004 -7.70100021, 19.36863136 -7.5828948, 19.47399902 -7.56699991, 19.48590088 -7.50258493, 19.54999924 -7.47200012, 19.48715019 -7.31349993, 19.54379082 -6.99942493, 20.30171013 -6.99803209, 20.31517982 -6.92803621, 20.57036018 -6.92149639, 20.62134552 -6.9316864, 20.61986923 -6.97537088, 20.55158424 -7.11264801, 20.54351425 -7.28145981, 21.77968979 -7.27468014, 21.85347939 -7.42645979, 21.8532753 -7.5570612, 21.74545097 -7.93879986, 21.88929176 -8.181729320000001, 21.95771027 -8.503007889999999, 21.85894012 -8.908261299999999, 21.8589344 -9.23749924, 21.79406548 -9.42090702, 21.88023376 -9.650776860000001, 22.00342178 -9.75176239, 22.02448273 -9.83379555, 22.19136047 -9.926919939999999, 22.24063301 -10.29000187, 22.32794952 -10.38512039, 22.27799988 -10.51599979, 22.31650925 -10.54372025, 22.33394051 -10.7577486, 22.17431641 -10.87472439, 22.26099968 -11.2329998, 22.43700027 -11.17500019, 22.49751282 -11.05150509, 22.56200027 -11.03100014, 22.72299957 -11.10999966, 22.86728287 -11.06187534, 23.08399963 -11.1239996, 23.20299911 -11.10200024, 23.43552971 -10.9382, 23.83036995 -11.02996635, 23.99569893 -10.89156914, 24.02560043 -10.96936035, 24.00558472 -11.12136745, 24.08211708 -11.39772987, 23.97117043 -11.65565968, 24.02461243 -11.82252312, 23.9830513 -12.11137581, 24.06865692 -12.26538754, 24.0759697 -12.40386868, 23.95566559 -12.54584122, 23.90360069 -12.83370876, 24.04029083 -12.99055862, 21.99990082 -13.00471878, 21.99966431 -16.19787407, 22.10854721 -16.34320068, 22.12602043 -16.49744034, 22.31571007 -16.63596725, 22.80711937 -17.17336082, 23.00918961 -17.28850174, 23.14175987 -17.46797943, 23.2407093 -17.54985237, 23.39160728 -17.58243942, 23.42815399 -17.63928032, 21.43354797 -18.02407455, 21.21975136 -17.93211555, 20.98100853 -17.95508575, 20.81847382 -18.04175758, 20.5351963 -17.97870064, 20.31682968 -17.86516953, 20.11404037 -17.9119072, 19.91279984 -17.86587906, 19.74944878 -17.91373825, 19.66192436 -17.85271835, 18.91064453 -17.82280159, 18.62431908 -17.64292908, 18.42210007 -17.39401054, 14.21432018 -17.38405991, 14.15216064 -17.43355942, 13.95688915 -17.4333725, 13.5106554 -17.13511086, 13.46085358 -17.01306725, 13.14243126 -16.95989037, 12.98325825 -16.98370552, 12.56563854 -17.24214363, 12.44671822 -17.26443481, 12.41288853 -17.20611, 12.24987984 -17.23664856, 12.08304119 -17.14413071, 11.90159512 -17.20843315)), ((13.05180645 -8.957916259999999, 13.16347218 -8.869304659999999, 13.02486229 -9.003748890000001, 13.05180645 -8.957916259999999)), ((12.21127415 -5.78651524, 12.14569378 -5.63902712, 12.18236065 -5.550138, 12.22958469 -5.5445838, 12.22291565 -5.46430588, 12.13986206 -5.17124987, 12.00986004 -5.03066397, 12.17322922 -4.89801407, 12.21016026 -4.76773214, 12.3015604 -4.81361103, 12.46239567 -4.59613085, 12.61611652 -4.56434202, 12.6628437 -4.48737097, 12.7600832 -4.48601723, 12.74330044 -4.37767076, 12.90299034 -4.4093008, 12.90612793 -4.46751022, 13.10696125 -4.6805501, 12.8631134 -4.73913288, 12.7176342 -4.94951105, 12.63956547 -4.95091486, 12.62897968 -5.02199888, 12.47931385 -5.06927156, 12.53744984 -5.13714504, 12.53510094 -5.73385286, 12.26567936 -5.74328423, 12.21127415 -5.78651524)), ((11.73347187 -16.67255211, 11.74013805 -16.71180344, 11.6712513 -16.57541656, 11.69986057 -16.50763893, 11.73347187 -16.67255211)))"
3,ALB,Albania,147.0,"POLYGON ((19.59448834048213 41.76918454372958, 19.59736633 41.81015396, 19.43930626 41.88319397, 19.37540627 41.84986115, 19.34140968 41.90670013, 19.3993206 42.10466766, 19.28442192 42.17871094, 19.71613693 42.66026688, 19.7916584 42.48342133, 20.08272171 42.55474472, 20.19638252 42.46632004, 20.25096512 42.3210907, 20.33453941 42.32501602, 20.51799583 42.21203613, 20.62841225 41.95995331, 20.51940346 41.74235916, 20.55971527 41.58421326, 20.45576668 41.52479172, 20.56316185 41.40859985, 20.49488258 41.33921051, 20.52440643 41.22808075, 20.60030365 41.09189606, 20.67366409 41.07404327, 20.7421875 40.90755844, 20.98602486 40.89578629, 20.9471302 40.76263809, 21.04966545 40.65751648, 21.03474045 40.55353928, 20.94507027 40.46357346, 20.84307289 40.47691727, 20.77928162 40.42021942, 20.66895103 40.09512329, 20.45229149 40.0719986, 20.38563538 39.98920822, 20.30514336 39.98439407, 20.40671539 39.81029892, 20.28280449 39.79985046, 20.31546974 39.72444534, 20.25766373 39.66610718, 19.98513985 39.68736267, 19.99786949 39.74134827, 20.01928711 39.85902786, 19.91347313 39.90097046, 19.93652725 39.9426384, 19.86352539 40.03710938, 19.46736145 40.21708298, 19.28819656 40.42097092, 19.35904503 40.42183685, 19.42124939 40.32125092, 19.48486137 40.34747314, 19.49347305 40.44708252, 19.40069389 40.50263977, 19.30652809 40.66236115, 19.3670826 40.71736145, 19.41347313 40.91930389, 19.47708321 40.9695816, 19.43874741 40.99986267, 19.43652534 41.14625168, 19.52013969 41.25402832, 19.4220829 41.32374954, 19.39097214 41.41291809, 19.44291687 41.40208435, 19.5112915 41.48571777, 19.44429016 41.5881958, 19.53124809 41.56958389, 19.60319519 41.61125183, 19.57152939 41.75013733, 19.59448834048213 41.76918454372958))"
4,AND,Andorra,231.0,"POLYGON ((1.56324399 42.45881653, 1.45656395 42.43590164, 1.41914999 42.48384476, 1.46921599 42.51079178, 1.41371596 42.53569031, 1.48903501 42.65171814, 1.78420889 42.57571793, 1.71139598 42.49226761, 1.56324399 42.45881653))"
5,ARE,United Arab Emirates,94.0,"MULTIPOLYGON (((54.47236244563538 24.54239562724945, 54.47068024 24.49363136, 54.39535904 24.53742981, 54.47426224 24.59746742, 54.47246000371975 24.54522366943301, 54.63166497948114 24.49150647932829, 54.6361084 24.50020027, 54.60084915 24.54379082, 54.68482971 24.66271973, 54.63425827 24.72689056, 54.69435883 24.78553009, 54.63705444 24.80508041, 54.75775146 24.77736855, 54.76013695283906 24.80312331675542, 54.7062149 24.8151474, 54.76173019 24.84766006, 54.73028183 24.82896805, 54.76042424711569 24.80622506452153, 54.76490021 24.85454941, 54.84247971 24.89066124, 54.88890076 24.84643936, 54.85219955 24.89517021, 54.9887085 24.97249031, 54.98594500021812 24.98173426042225, 55.00233078 24.97846031, 54.98306520702318 24.99136721414809, 54.97649127073052 25.01335713488797, 54.9950676 25.02695465, 55.01455688 24.98397827, 54.99991989 25.03570938, 55.0552597 24.97204971, 55.07277679 25.02695465, 55.03729248 25.03617477, 55.14673996 25.09367943, 55.12710953 25.13237953, 55.16241074 25.11077881, 55.25032043 25.26993179, 55.27582169 25.25266075, 55.25756836 25.28306961, 55.34635544 25.19801712, 55.29265213 25.29787064, 55.3564415 25.29912186, 55.44242096 25.43078995, 55.44449349742394 25.42780532259568, 55.51805115 25.4699173, 55.57823944 25.60972023, 55.56428909 25.52524948, 55.6122818 25.52136993, 55.74674606 25.65688133, 55.73358917 25.69376945, 55.75099945 25.66310883, 55.867836 25.72480202, 55.94949341 25.81058121, 55.96575546 25.77532768, 55.95196152 25.81458092, 56.05097961 25.88859558, 56.05111694 25.92937279, 56.00748062 25.890028, 56.0855217 26.05049706, 56.15306091 26.0693264, 56.19132996 25.97198677, 56.14157867 25.82783699, 56.17974854 25.62098503, 56.34452057 25.60092926, 56.37171936 25.53366852, 56.37072754 24.97959328, 56.11270142 24.73819923, 55.97795105 24.87771988, 56.06052017 24.87148476, 56.0632019 24.94756699, 56.00666046 24.99452019, 55.8514328 24.9654007, 55.81259918 24.91067123, 55.83712006 24.67090988, 55.7653389 24.52963066, 55.83443832 24.33341599, 55.75299835 24.23488045, 55.95524979 24.22323036, 56.01813126 24.06602859, 55.83374023 24.01375008, 55.73239899 24.05786133, 55.48511887 23.94432068, 55.57220078 23.62798119, 55.23648071 23.11903954, 55.21601868 22.91834831, 55.21342087 22.7005291, 55.14947128 22.64440918, 52.58975983 22.92780876, 51.58652878 24.12440109, 51.57361984 24.3849411, 51.63710022 24.31516838, 51.63291931 24.20381165, 51.67314148 24.24804115, 51.65460205 24.32621956, 51.70399857 24.20858002, 51.74179077 24.29312134, 51.77552032 24.27349091, 51.7838707 24.03252983, 51.93181992 23.95162964, 51.95541 24.00354958, 52.09442139 23.93992043, 52.28406143 23.98499107, 52.5617485 24.13129997, 52.59302139 24.19956017, 52.66989899 24.12837029, 52.97890091 24.15503883, 53.05047989 24.11911011, 53.13990021 24.17161179, 53.28667831 24.08070946, 53.444767 24.12658882, 53.58766174 24.04554939, 53.91257477 24.07070351, 53.90927887 24.11728096, 54.18495178 24.19652939, 54.09782791 24.24053955, 54.1540184 24.23907661, 54.08903122 24.29174042, 54.13228226 24.32323265, 54.24553299 24.25093079, 54.16476822 24.31065941, 54.21744919 24.35573006, 54.29179001 24.28092957, 54.23485947 24.28310013, 54.27008057 24.24064827, 54.52536011 24.31253052, 54.45262146 24.31665039, 54.46664047 24.38155174, 54.61011887 24.44935036, 54.62986164099204 24.48797815081023, 54.57015991 24.45309448, 54.55316162 24.49674225, 54.47236244563538 24.54239562724945), (55.44470135283426 25.42750599340307, 55.46706009 25.39530754, 55.4978447 25.42639351, 55.44470135283426 25.42750599340307), (56.22340012 25.26226425, 56.28215408 25.23670197, 56.35058212 25.30434799, 56.26768875 25.33748436, 56.22340012 25.26226425)), ((54.96697262135839 25.00214838639354, 54.9639473 25.00417519, 54.96744305390927 25.00673401450831, 54.96697262135839 25.00214838639354)), ((55.72010803 25.65423012, 55.61777115 25.56657028, 55.63103867 25.60993958, 55.58647156 25.58794022, 55.72010803 25.65423012)), ((54.54673004 24.63855934, 54.55848312 24.60636902, 54.50022888 24.60990143, 54.54673004 24.63855934)), ((54.50698853 24.45963097, 54.54039001 24.43905067, 54.4799614 24.43350983, 54.50698853 24.45963097)), ((54.45033646 24.44239998, 54.47907639 24.3999939, 54.30015182 24.45915985, 54.38391113 24.54085922, 54.4083786 24.44963837, 54.45033646 24.44239998)), ((54.37065887 24.41964149, 54.32299805 24.44547081, 54.41706085 24.40446091, 54.37065887 24.41964149)), ((54.29476166 24.39679527, 54.35335541 24.35260201, 54.31475449 24.30963898, 54.29476166 24.39679527)), ((54.2600708 24.41423035, 54.26562119 24.35659027, 54.18920135 24.36919975, 54.2600708 24.41423035)), ((54.19816208 25.22875977, 54.22357178 25.25115013, 54.23961258 25.21258163, 54.19816208 25.22875977)), ((54.05355835 24.19831276, 54.06671906 24.16486359, 54.01680756 24.18669319, 54.05355835 24.19831276)), ((53.87207031 24.2656002, 53.97211838 24.18181801, 53.95193863 24.13800049, 53.90820313 24.11979103, 53.84085083 24.18414879, 53.77775955 24.12142944, 53.6231308 24.16726875, 53.87207031 24.2656002)), ((53.33253098 24.31737709, 53.33276367 24.26106453, 53.22595215 24.28270531, 53.33253098 24.31737709)), ((52.62234116 24.37177849, 52.64923096 24.31200981, 52.58361053 24.26086998, 52.56121826 24.34998894, 52.62234116 24.37177849)), ((52.33958817 24.5039196, 52.30355835 24.4191494, 52.28105927 24.50941086, 52.30680847 24.54320908, 52.33958817 24.5039196)))"
