,class,country,countrycode,dead_during_wave,population,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
110,5.0,South Korea,KOR,157.0,51709098.0,2020-05-23,2020-05-12,2020-05-16,2.0,2020-10-01,2020-05-07
111,1.0,Kuwait,KWT,871.0,4207083.0,2020-04-22,2020-04-05,2020-04-18,1.0,2020-11-27,2020-04-05
112,1.0,Lebanon,LBN,973.0,6855713.0,2020-03-30,2020-03-11,2020-03-27,1.0,2020-11-27,2020-03-11
113,1.0,Libya,LBY,1139.0,6777452.0,2020-06-16,2020-04-03,2020-05-29,1.0,2020-11-27,2020-04-03
114,1.0,Sri Lanka,LKA,98.0,21803000.0,2020-05-26,2020-03-29,2020-04-05,1.0,2020-11-27,2020-03-29
115,3.0,Lithuania,LTU,78.0,2786844.0,2020-04-06,2020-03-21,2020-03-28,1.0,2020-07-01,2020-02-27
116,3.0,Lithuania,LTU,371.0,2786844.0,2020-09-25,2020-07-04,2020-08-22,2.0,2020-11-27,2020-07-01
117,5.0,Luxembourg,LUX,110.0,619896.0,2020-03-28,2020-03-14,2020-03-21,1.0,2020-06-04,2020-02-29
118,5.0,Luxembourg,LUX,14.0,619896.0,2020-08-11,2020-07-13,2020-08-03,2.0,2020-09-04,2020-06-07
119,1.0,Latvia,LVA,187.0,1912789.0,2020-04-23,2020-04-04,2020-04-13,1.0,2020-11-27,2020-04-04
120,1.0,Morocco,MAR,5618.0,36471769.0,2020-03-27,2020-03-12,2020-03-25,1.0,2020-11-27,2020-03-12
121,1.0,Moldova,MDA,2228.0,2657637.0,2020-04-05,2020-03-19,2020-04-02,1.0,2020-11-27,2020-03-19
122,2.0,Madagascar,MDG,244.0,26969307.0,2020-06-11,2020-05-18,2020-05-30,1.0,2020-11-01,2020-04-27
123,2.0,Maldives,MDV,41.0,530953.0,2020-07-03,2020-05-01,2020-05-27,1.0,2020-11-14,2020-04-12
124,1.0,Mexico,MEX,104240.0,127575529.0,2020-03-28,2020-03-21,2020-03-25,1.0,2020-11-27,2020-03-21
125,1.0,Macedonia,MKD,1629.0,2083459.0,2020-04-02,2020-03-23,2020-03-30,1.0,2020-11-27,2020-03-23
126,1.0,Mali,MLI,147.0,19658031.0,2020-04-14,2020-04-01,2020-04-06,1.0,2020-11-27,2020-04-01
127,1.0,Malta,MLT,121.0,502653.0,2020-08-23,2020-04-10,2020-05-06,1.0,2020-11-27,2020-04-10
128,1.0,Myanmar,MMR,1845.0,54045420.0,2020-09-09,2020-04-01,2020-04-18,1.0,2020-11-27,2020-04-01
129,3.0,Montenegro,MNE,83.0,622137.0,2020-06-29,2020-03-27,2020-04-19,1.0,2020-08-25,2020-03-27
130,3.0,Montenegro,MNE,385.0,622137.0,2020-08-31,2020-08-26,2020-08-28,2.0,2020-11-27,2020-08-25
131,1.0,Mozambique,MOZ,127.0,30366036.0,2020-07-19,2020-05-26,2020-06-22,1.0,2020-11-27,2020-05-26
132,2.0,Mauritania,MRT,143.0,4525696.0,2020-05-28,2020-04-03,2020-05-22,1.0,2020-07-13,2020-04-03
133,2.0,Malawi,MWI,184.0,18628747.0,2020-06-22,2020-04-08,2020-06-14,1.0,2020-11-16,2020-04-08
134,3.0,Malaysia,MYS,121.0,31949777.0,2020-03-23,2020-03-18,2020-03-23,1.0,2020-07-06,2020-02-27
135,3.0,Malaysia,MYS,227.0,31949777.0,2020-09-24,2020-07-12,2020-08-31,2.0,2020-11-27,2020-07-06
136,2.0,Namibia,NAM,134.0,2494530.0,2020-07-31,2020-07-11,2020-07-22,1.0,2020-11-09,2020-05-21
137,1.0,Nigeria,NGA,1168.0,200963599.0,2020-04-12,2020-03-24,2020-04-06,1.0,2020-11-27,2020-03-24
138,2.0,Nicaragua,NIC,155.0,6545502.0,2020-05-23,2020-03-28,2020-05-04,1.0,2020-11-04,2020-03-28
