,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,MAX_SI,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,EPI_DURATION_SECOND_WAVE,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
195,UGA,Uganda,-117,EPI_FIRST_WAVE,44269594.0,20145.0,4.550527389069798,201.0,0.04540362398625115,93.52,2020-05-17,2020-07-25,2020-08-04,2020-08-14,,,,,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,79.63,,,,,,,,,,,,-127,-122,-129,-117,-122.0,-117,-117,-33,,16.0,-122,,,,,,,,,,,,1
196,UKR,Ukraine,-1,EPI_FIRST_WAVE,44385155.0,722679.0,162.8199788870851,12213.0,2.7515956630094003,88.89,2020-03-29,2020-03-19,2020-03-27,2020-03-31,,,,,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,88.89,,,,,,,,,,,,-7,,-7,-2,-1.0,,-7,-3,182.0,49.0,-3,,,,,,,,,,,,1
197,URY,Uruguay,3,EPI_FIRST_WAVE,3461734.0,5716.0,16.511956146832773,76.0,0.21954315380673384,72.22,2020-03-17,2020-03-30,2020-04-05,2020-04-20,,,,,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,62.96,,,,,,,,,,,,-16,,-17,,,3,2,-6,87.0,,-3,,,,,,,,,,,,1
198,USA,United States,41,EPI_FIRST_WAVE,328239523.0,13383321.0,407.730332949576,266873.0,8.130434676509081,77.78,2020-03-13,2020-03-01,2020-03-03,2020-03-05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,11.11,,,,,,,,,,,,18,,18,26,41.0,,,,227.0,143.0,18,,,,,,,,,,,,1
199,UZB,Uzbekistan,30,EPI_FIRST_WAVE,33580650.0,72870.0,21.699996873199296,608.0,0.1810566501839601,96.3,2020-04-01,2020-03-29,2020-04-19,2020-05-04,167,,338.0,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,90.74,3.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,73.15,-13,-8,-13,30,-13.0,-2,-5,-13,,-14.0,-13,146.0,47.0,146.0,34.0,75.0,141.0,83.0,89.0,0.0,168.0,146,2
200,VAT,Vatican City,,EPI_OTHER,,26.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
201,VCT,Saint Vincent and the Grenadines,,EPI_OTHER,110589.0,85.0,7.686117064084131,0.0,0.0,,2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
202,VEN,Venezuela,185,EPI_FIRST_WAVE,28515829.0,102040.0,35.78363441581867,894.0,0.3135100859245579,87.96,2020-04-02,2020-03-27,2020-04-05,2020-04-22,153,,342.0,,3.0,3.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,82.41,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,0.0,86.11,-11,-11,-15,47,87.0,-14,-14,-9,42.0,,-11,154.0,129.0,154.0,107.0,30.0,147.0,134.0,154.0,112.0,0.0,154,2
203,VGB,British Virgin Islands,128,EPI_OTHER,30030.0,73.0,24.30902430902431,1.0,0.333000333000333,79.63,2020-03-27,2020-04-20,,,,,,,3.0,3.0,2.0,4.0,0.0,3.0,0.0,4.0,2.0,2.0,72.22,,,,,,,,,,,,-32,-24,-35,-24,,-26,123,-28,74.0,-52.0,-24,,,,,,,,,,,,0
204,VIR,"Virgin Islands, U.S.",,EPI_OTHER,106631.0,1544.0,144.79841697067457,23.0,2.156971237257458,,2020-03-24,2020-04-06,2020-05-12,2020-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
205,VNM,Vietnam,-122,EPI_OTHER,96462106.0,1343.0,0.13922565613485569,35.0,0.0036283678069396496,96.3,2020-07-31,2020-08-01,2020-08-02,2020-08-07,,,,,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,75.46,,,,,,,,,,,,-185,-127,-175,-122,-126.0,-122,-170,-132,-114.0,-147.0,-128,,,,,,,,,,,,0
206,XKO,Kosovo,,EPI_SECOND_WAVE,,39057.0,,1005.0,,,,2020-03-23,2020-04-08,2020-04-17,197,55.0,629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
207,YEM,Yemen,0,EPI_OTHER,29161922.0,2077.0,0.712230147244753,605.0,0.20746232021332475,58.33,2020-05-20,2020-05-01,2020-05-07,2020-05-13,,,,,3.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,58.33,,,,,,,,,,,,-47,,-45,,,0,-1,-44,,,,,,,,,,,,,,,0
208,ZAF,South Africa,-1,EPI_FIRST_WAVE,58558270.0,787702.0,134.51592746848567,21477.0,3.6676288421772023,87.96,2020-03-24,2020-03-27,2020-04-01,2020-04-06,204,,16866.0,,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,87.96,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,80.56,-9,-1,-11,144,,-1,-1,-1,35.0,-20.0,-1,82.0,36.0,188.0,33.0,0.0,150.0,145.0,189.0,155.0,205.0,178,2
209,ZMB,Zambia,29,EPI_FIRST_WAVE,17861030.0,17608.0,9.858334037846642,357.0,0.19987649088546405,70.83,2020-04-29,2020-04-03,2020-05-10,2020-06-09,227,,352.0,,3.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,2.0,47.22,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,50.93,-14,29,12,12,,12,11,-7,227.0,-8.0,12,59.0,6.0,23.0,75.0,0.0,23.0,24.0,29.0,1.0,228.0,23,2
210,ZWE,Zimbabwe,6,EPI_SECOND_WAVE,14645468.0,9950.0,6.793910580392515,276.0,0.18845420303400343,87.96,2020-05-28,2020-03-24,2020-06-21,2020-07-10,193,58.0,227.0,,3.0,0.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,1.0,56.48,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,80.56,0,6,-7,,,6,6,-1,,,3,141.0,67.0,194.0,0.0,0.0,141.0,188.0,191.0,0.0,0.0,191,3
