,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,MAX_SI,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,EPI_DURATION_SECOND_WAVE,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
164,SAU,Saudi Arabia,32,EPI_FIRST_WAVE,34268528.0,357128.0,104.21457262477104,5884.0,1.7170273552456061,94.44,2020-03-20,2020-03-25,2020-03-30,2020-04-01,245,,5810.0,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,89.81,3.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,71.3,-16,,-12,32,-4.0,-2,-17,-10,63.0,-53.0,-9,246.0,0.0,246.0,43.0,88.0,67.0,88.0,159.0,183.0,246.0,174,2
165,SDN,Sudan,75,EPI_SECOND_WAVE,42813238.0,17627.0,4.117184502606413,1241.0,0.28986361648236,91.67,2020-04-27,2020-03-15,2020-04-15,2020-04-19,175,85.0,822.0,,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,45.37,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,84.26,-1,34,-1,,11.0,34,29,1,,,8,176.0,81.0,176.0,0.0,117.0,81.0,141.0,119.0,0.0,0.0,168,3
166,SEN,Senegal,-8,EPI_FIRST_WAVE,16296364.0,16075.0,9.864163564338646,333.0,0.204340060150841,77.78,2020-03-25,2020-04-02,2020-04-21,2020-05-05,238,,326.0,,3.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,1.0,2.0,77.78,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,32.41,-17,,-19,-10,,-8,-10,-13,106.0,-27.0,-10,101.0,0.0,125.0,49.0,0.0,97.0,76.0,119.0,21.0,239.0,94,2
167,SGP,Singapore,23,EPI_FIRST_WAVE,5703569.0,58213.0,102.0641636841774,29.0,0.05084535665300095,85.19,2020-02-07,2020-03-22,2020-04-03,2020-04-15,169,,26.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,36.11,3.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,85.19,17,16,-9,17,,17,17,,,-62.0,17,55.0,35.0,120.0,94.0,0.0,72.0,72.0,0.0,0.0,170.0,72,2
168,SLB,Solomon Islands,,EPI_OTHER,669823.0,17.0,0.2537983915153705,0.0,0.0,69.44,2020-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
169,SLE,Sierra Leone,-19,EPI_OTHER,7813215.0,2411.0,3.0857975878047643,74.0,0.09471133201889363,88.89,2020-04-21,2020-04-24,2020-05-01,2020-05-06,,,,,3.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,81.48,,,,,,,,,,,,-24,-19,-33,-19,,-19,-19,-27,,-24.0,-19,,,,,,,,,,,,0
170,SLV,El Salvador,36,EPI_SECOND_WAVE,6453553.0,38405.0,59.5098544941058,1114.0,1.7261809115071962,100.0,2020-04-02,2020-04-01,2020-04-09,2020-05-01,178,72.0,808.0,,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,0.0,88.89,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,89.81,-21,-11,-11,20,36.0,-11,-14,-20,23.0,,-14,179.0,69.0,178.0,70.0,109.0,179.0,178.0,178.0,149.0,0.0,179,3
171,SMR,San Marino,46,EPI_OTHER,33860.0,1586.0,468.3992911990549,45.0,13.290017720023627,92.59,2020-02-28,2020-03-02,2020-03-13,2020-03-18,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.33,,,,,,,,,,,,-2,,6,6,13.0,39,46,-1,80.0,-4.0,6,,,,,,,,,,,,0
172,SOM,Somalia,1,EPI_FIRST_WAVE,15442905.0,4445.0,2.8783444565643577,113.0,0.07317276121299716,60.19,2020-04-16,2020-04-10,2020-04-16,2020-04-23,,,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,52.78,,,,,,,,,,,,-20,,-22,168,,154,142,-23,,,1,,,,,,,,,,,,1
173,SRB,Serbia,0,EPI_THIRD_WAVE,6944975.0,169214.0,243.64954517474865,1549.0,2.230389598234695,100.0,2020-03-14,2020-03-21,2020-03-28,2020-03-29,82,180.0,245.0,486.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,100.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,100.0,-5,0,-6,-6,0.0,-6,-3,-5,62.0,-15.0,-5,62.0,31.0,81.0,63.0,57.0,53.0,60.0,62.0,13.0,83.0,62,5
