,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start
33,3.0,Bosnia and Herzegovina,BIH,4791.0,3301000.0,19311.615000000005,2020-03-31,,1.0,2021-02-07,2020-01-09
34,3.0,Bosnia and Herzegovina,BIH,1808.0,3301000.0,2257.270000000001,2021-02-09,,2.0,2021-04-01,2021-02-07
35,3.0,Belarus,BLR,613.0,9466856.0,2466.095000000001,2020-04-07,,1.0,2020-08-18,2020-01-09
36,3.0,Belarus,BLR,1634.0,9466856.0,5172.555,2020-08-21,,2.0,2021-04-01,2020-08-18
37,2.0,Belize,BLZ,315.0,390353.0,17192.675000000003,2020-08-26,,1.0,2021-03-31,2020-08-02
38,4.0,Bolivia,BOL,8939.0,11513100.0,22881.76,2020-04-05,358588.25,1.0,2020-11-28,2020-01-09
39,4.0,Bolivia,BOL,3300.0,11513100.0,3959.1299999999997,2020-11-30,,2.0,2021-04-01,2020-11-28
40,1.0,Brazil,BRA,317635.0,211049527.0,26512.744999999995,2020-03-21,,1.0,2021-04-01,2020-03-21
41,2.0,Barbados,BRB,34.0,287025.0,13338.98,2021-01-26,,1.0,2021-03-29,2020-07-06
42,2.0,Central African Republic,CAF,62.0,4745185.0,13224.199999999999,2020-06-17,,1.0,2020-11-06,2020-03-22
43,4.0,Canada,CAN,8522.0,37589262.0,7726.29,2020-03-21,2894463.75,1.0,2020-06-30,2020-02-15
44,4.0,Canada,CAN,12789.0,37589262.0,15648.819999999998,2020-07-01,20383176.0,2.0,2021-02-17,2020-06-30
45,4.0,Switzerland,CHE,1721.0,8574832.0,5994.390000000002,2020-03-13,,1.0,2020-06-06,2020-01-09
46,4.0,Switzerland,CHE,7742.0,8574832.0,12581.785,2020-07-02,4469728.0,2.0,2021-02-21,2020-06-06
47,3.0,Chile,CHL,15069.0,18952038.0,20007.214999999997,2020-04-01,,1.0,2020-11-23,2020-01-09
48,3.0,Chile,CHL,8066.0,18952038.0,10094.779999999999,2020-11-24,,2.0,2021-04-01,2020-11-23
49,2.0,China,CHN,4645.0,1397715000.0,9271.749999999996,2020-01-22,,1.0,2020-05-29,2020-01-09
50,3.0,Côte d'Ivoire,CIV,127.0,25716544.0,12957.95,2020-04-21,,1.0,2020-11-12,2020-03-11
51,3.0,Côte d'Ivoire,CIV,117.0,25716544.0,3052.3850000000007,2020-12-29,,2.0,2021-04-01,2020-11-12
52,1.0,Democratic Republic of the Congo,COD,732.0,86790567.0,18133.41,2020-04-02,,1.0,2021-04-01,2020-04-02
53,2.0,Colombia,COL,60676.0,50339443.0,28635.17,2020-03-31,,1.0,2021-03-11,2020-01-09
54,2.0,Comoros,COM,139.0,850886.0,0.0,2021-01-03,,1.0,2021-03-17,2020-09-25
55,3.0,Cape Verde,CPV,104.0,549935.0,18184.754999999997,2020-06-27,,1.0,2020-12-10,2020-04-05
56,3.0,Cape Verde,CPV,63.0,549935.0,6673.48,2021-01-12,,2.0,2021-04-01,2020-12-10
57,2.0,Costa Rica,CRI,2833.0,5047561.0,23886.53,2020-05-18,600021.8095238095,1.0,2021-03-07,2020-01-09
58,1.0,Cuba,CUB,413.0,11333483.0,27328.57,2020-04-08,2994453.0,1.0,2021-04-01,2020-04-08
59,3.0,Cyprus,CYP,220.0,1198575.0,23043.420000000002,2020-04-10,,1.0,2021-02-14,2020-01-09
60,3.0,Cyprus,CYP,36.0,1198575.0,3469.5700000000015,2021-02-23,,2.0,2021-04-01,2021-02-14
61,5.0,Czech Republic,CZE,290.0,10669709.0,5184.394999999999,2020-03-29,,1.0,2020-05-14,2020-01-09
62,5.0,Czech Republic,CZE,8525.0,10669709.0,9715.794999999998,2020-05-20,,2.0,2020-12-06,2020-05-14
63,5.0,Czech Republic,CZE,17771.0,10669709.0,8745.809999999998,2020-12-07,,3.0,2021-04-01,2020-12-06
64,4.0,Germany,DEU,9071.0,83132799.0,8601.95,2020-03-16,,1.0,2020-07-15,2020-02-22
65,4.0,Germany,DEU,58135.0,83132799.0,14317.68,2020-07-17,,2.0,2021-02-19,2020-07-15
66,5.0,Djibouti,DJI,3.0,973560.0,4654.409999999998,2020-05-22,,1.0,2020-05-09,2020-03-17
67,5.0,Djibouti,DJI,57.0,973560.0,6538.614999999998,2020-05-26,,2.0,2020-08-29,2020-05-09
68,5.0,Djibouti,DJI,10.0,973560.0,8899.785,2021-04-01,,3.0,2021-04-01,2020-08-29
69,4.0,Denmark,DNK,609.0,5818553.0,7906.104999999999,2020-03-22,1181542.8,1.0,2020-07-08,2020-01-09
70,4.0,Denmark,DNK,1692.0,5818553.0,11813.67,2020-08-11,14153541.0,2.0,2021-02-16,2020-07-08
71,6.0,Dominican Republic,DOM,2212.0,10738958.0,18596.48,2020-03-26,567501.4615384615,1.0,2020-10-24,2020-03-05
72,6.0,Dominican Republic,DOM,2212.0,10738958.0,18552.04,2020-03-26,,2.0,2020-10-24,2020-03-09
73,6.0,Dominican Republic,DOM,1113.0,10738958.0,10879.84,2020-10-26,,3.0,2021-04-01,2020-10-24
74,6.0,Algeria,DZA,1818.0,43053054.0,16375.475000000002,2020-03-20,,1.0,2020-10-15,2020-01-09
75,6.0,Algeria,DZA,1035.0,43053054.0,8519.695,2020-08-05,,2.0,2020-11-22,2020-08-02
76,6.0,Algeria,DZA,1275.0,43053054.0,12238.695,2020-10-16,,3.0,2021-04-01,2020-10-15
77,7.0,Ecuador,ECU,3358.0,17373662.0,7500.165,2020-04-02,72715.94736842105,1.0,2020-06-02,2020-01-09
78,7.0,Ecuador,ECU,3261.0,17373662.0,7310.839999999998,2020-06-03,192871.0,2.0,2020-09-03,2020-06-02
79,7.0,Ecuador,ECU,7373.0,17373662.0,6494.439999999997,2020-09-04,424773.0,3.0,2020-12-28,2020-09-03
80,3.0,Egypt,EGY,6029.0,100388073.0,14545.470000000001,2020-03-22,,1.0,2020-10-10,2020-01-09
81,3.0,Egypt,EGY,5966.0,100388073.0,10399.875,2020-10-11,,2.0,2021-04-01,2020-10-10
82,1.0,Eritrea,ERI,-25.0,3213972.0,681.52,2021-03-24,,1.0,2021-04-01,2021-03-24
83,6.0,Spain,ESP,29642.0,47076781.0,7923.554999999999,2020-03-09,,1.0,2020-06-21,2020-02-21
84,6.0,Spain,ESP,20734.0,47076781.0,10904.939999999999,2020-06-22,,2.0,2020-12-11,2020-06-21
85,6.0,Spain,ESP,24948.0,47076781.0,6607.125,2020-12-12,,3.0,2021-03-13,2020-12-11
86,3.0,Estonia,EST,63.0,1326590.0,6946.344999999998,2020-04-03,133791.64705882352,1.0,2020-07-17,2020-01-09
87,3.0,Estonia,EST,845.0,1326590.0,10821.04,2020-10-24,,2.0,2021-04-01,2020-07-17
88,3.0,Ethiopia,ETH,1923.0,112078730.0,20769.335000000003,2020-06-01,1811548.2278481012,1.0,2021-01-02,2020-01-09
89,3.0,Ethiopia,ETH,942.0,112078730.0,3872.6949999999997,2021-01-03,,2.0,2021-04-01,2021-01-02
90,5.0,Finland,FIN,328.0,5520314.0,7077.290000000001,2020-03-30,320568.1964285714,1.0,2020-07-17,2020-02-15
91,5.0,Finland,FIN,248.0,5520314.0,6757.69,2020-09-15,2240206.0,2.0,2021-01-06,2020-07-17
92,5.0,Finland,FIN,268.0,5520314.0,4479.710000000003,2021-01-09,,3.0,2021-04-01,2021-01-06
93,5.0,France,FRA,29699.0,67059887.0,9160.385000000002,2020-03-08,,1.0,2020-06-29,2020-02-24
94,5.0,France,FRA,24704.0,67059887.0,8731.565,2020-06-30,,2.0,2020-12-05,2020-06-29
95,5.0,France,FRA,40658.0,67059887.0,7576.630000000002,2020-12-06,,3.0,2021-04-01,2020-12-05
96,5.0,Gabon,GAB,46.0,2172579.0,10346.349999999999,2020-05-15,,1.0,2020-07-16,2020-01-09
97,5.0,Gabon,GAB,12.0,2172579.0,9545.0,2020-11-10,,2.0,2020-11-19,2020-07-16
98,5.0,Gabon,GAB,60.0,2172579.0,8736.530000000002,2021-01-28,,3.0,2021-04-01,2020-11-19
99,4.0,United Kingdom,GBR,40632.0,66834405.0,8676.005,2020-03-14,,1.0,2020-07-06,2020-02-21
100,4.0,United Kingdom,GBR,86081.0,66834405.0,19736.77,2020-07-07,,2.0,2021-04-01,2020-07-06
101,2.0,Georgia,GEO,3601.0,3720382.0,27170.335,2020-05-09,,1.0,2021-03-09,2020-01-09
