,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,GOV_MAX_SI_DAYS_FROM_T0_POP,CLASS
78,GRC,Greece,-6,EPI_SECOND_WAVE,10716322.0,11524.0,10.753689558787054,15,3
81,GTM,Guatemala,-23,EPI_FIRST_WAVE,16604026.0,77683.0,46.7856410246527,9,1
82,GUM,Guam,-138,EPI_FIRST_WAVE,167294.0,1619.0,96.77573612920966,23,1
83,GUY,Guyana,-139,EPI_FIRST_WAVE,782766.0,1468.0,18.75400822212513,24,1
84,HND,Honduras,-43,EPI_FIRST_WAVE,9746117.0,64764.0,66.4510799531752,-5,2
85,HRV,Croatia,-11,EPI_SECOND_WAVE,4067500.0,11964.0,29.413644744929318,10,3
86,HTI,Haiti,-37,EPI_FIRST_WAVE,11263077.0,8360.0,7.422483216620112,-2,2
87,HUN,Hungary,-13,EPI_SECOND_WAVE,9769949.0,8387.0,8.584486981457118,11,3
88,IDN,Indonesia,27,EPI_FIRST_WAVE,270625568.0,194109.0,7.172603883458639,24,1
90,IND,India,-8,EPI_FIRST_WAVE,1366417754.0,4204613.0,30.771065347267143,-20,1
91,IRL,Ireland,13,EPI_SECOND_WAVE,4941444.0,29672.0,60.047225062147824,27,3
92,IRN,Iran,132,EPI_SECOND_WAVE,82913906.0,386658.0,46.633673246560114,134,3
93,IRQ,Iraq,-12,EPI_FIRST_WAVE,39309783.0,260370.0,66.23542032781,4,1
94,ISL,Iceland,-10,EPI_SECOND_WAVE,361313.0,2141.0,59.25610205002311,18,3
95,ISR,Israel,16,EPI_SECOND_WAVE,9053300.0,130644.0,144.30539140423934,29,4
96,ITA,Italy,42,EPI_FIRST_WAVE,60297396.0,277634.0,46.04411109229327,46,2
97,JAM,Jamaica,-109,EPI_SECOND_WAVE,2948279.0,3103.0,10.52478411982041,34,3
100,JPN,Japan,26,EPI_SECOND_WAVE,126264931.0,71856.0,5.690891321201451,34,4
102,KEN,Kenya,-45,EPI_FIRST_WAVE,52573973.0,35103.0,6.676877929693463,-14,2
103,KGZ,Kyrgyzstan,-46,EPI_FIRST_WAVE,6456900.0,44451.0,68.842633461878,0,2
106,KOR,South Korea,40,EPI_SECOND_WAVE,51709098.0,21296.0,4.1184241891049815,44,3
107,KWT,Kuwait,28,EPI_FIRST_WAVE,4207083.0,89582.0,212.93138262306687,73,2
109,LBN,Lebanon,-65,EPI_FIRST_WAVE,6855713.0,20426.0,29.794129363349953,8,1
110,LBR,Liberia,-92,EPI_FIRST_WAVE,4937374.0,1307.0,2.647156160339484,3,2
111,LBY,Libya,-81,EPI_FIRST_WAVE,6777452.0,17749.0,26.18830793637491,2,1
115,LSO,Lesotho,-146,EPI_FIRST_WAVE,2125268.0,1148.0,5.401671695052106,-87,1
116,LTU,Lithuania,-2,EPI_SECOND_WAVE,2786844.0,3083.0,11.062693139623173,25,3
117,LUX,Luxembourg,-8,EPI_SECOND_WAVE,619896.0,6896.0,111.24446681378812,9,4
118,LVA,Latvia,-52,EPI_FIRST_WAVE,1912789.0,1428.0,7.465538540842717,15,2
119,MAR,Morocco,-12,EPI_FIRST_WAVE,36471769.0,72394.0,19.84932510402772,-1,1
121,MDA,Moldova,-15,EPI_FIRST_WAVE,2657637.0,39797.0,149.74580802419592,9,1
122,MDG,Madagascar,-63,EPI_FIRST_WAVE,26969307.0,15319.0,5.680160784257453,-27,2
124,MEX,Mexico,-1,EPI_FIRST_WAVE,127575529.0,634023.0,49.69785388857765,2,2
126,MLI,Mali,-60,EPI_FIRST_WAVE,19658031.0,2842.0,1.445719563673493,-18,2
132,MOZ,Mozambique,-20,EPI_FIRST_WAVE,30366036.0,4444.0,1.4634771558592632,27,1
133,MRT,Mauritania,-73,EPI_FIRST_WAVE,4525696.0,7134.0,15.763321265944509,-48,2
136,MWI,Malawi,42,EPI_FIRST_WAVE,18628747.0,5614.0,3.0136219038242347,74,2
137,MYS,Malaysia,63,EPI_FIRST_WAVE,31949777.0,9397.0,2.9411785878818497,70,2
138,NAM,Namibia,-91,EPI_FIRST_WAVE,2494530.0,8685.0,34.81617779701988,15,1
140,NER,Niger,-81,EPI_FIRST_WAVE,23310715.0,1177.0,0.5049180173152132,-8,2
141,NGA,Nigeria,-2,EPI_FIRST_WAVE,200963599.0,55005.0,2.7370628448985928,-2,2
142,NIC,Nicaragua,-49,EPI_FIRST_WAVE,6545502.0,4494.0,6.865783556402549,-38,2
143,NLD,Netherlands,15,EPI_SECOND_WAVE,17332850.0,74715.0,43.10600968680858,24,3
144,NOR,Norway,8,EPI_SECOND_WAVE,5347896.0,11120.0,20.793224101590607,20,3
145,NPL,Nepal,-66,EPI_SECOND_WAVE,28608710.0,46257.0,16.16885207337206,-50,3
146,NZL,New Zealand,-15,EPI_SECOND_WAVE,4917000.0,1425.0,2.898108602806589,7,3
147,OMN,Oman,99,EPI_FIRST_WAVE,4974986.0,87072.0,175.01958799482048,128,2
148,PAK,Pakistan,0,EPI_FIRST_WAVE,216565318.0,298903.0,13.801979133150027,-1,2
149,PAN,Panama,18,EPI_FIRST_WAVE,4246439.0,97043.0,228.52795012479868,36,1
150,PER,Peru,30,EPI_SECOND_WAVE,32510453.0,689977.0,212.2323549290439,42,3
151,PHL,Philippines,-7,EPI_FIRST_WAVE,108116615.0,237365.0,21.954534925089913,-3,1
153,POL,Poland,14,EPI_SECOND_WAVE,37970874.0,70824.0,18.652191150511836,22,3
154,PRI,Puerto Rico,-32,EPI_FIRST_WAVE,3193694.0,34533.0,108.12870613152043,-12,1
155,PRT,Portugal,19,EPI_FIRST_WAVE,10269417.0,60258.0,58.677138147180116,28,2
156,PRY,Paraguay,-55,EPI_FIRST_WAVE,7044636.0,22486.0,31.91932131056878,15,1
157,PSE,Palestina,-92,EPI_FIRST_WAVE,4685306.0,34012.0,72.59291068715683,11,1
159,QAT,Qatar,-8,EPI_FIRST_WAVE,2832067.0,120095.0,424.05423318021786,19,2
160,ROU,Romania,4,EPI_SECOND_WAVE,19356544.0,95014.0,49.08624184151881,16,3
161,RUS,Russia,2,EPI_FIRST_WAVE,144373535.0,1025505.0,71.03137011918425,3,2
162,RWA,Rwanda,-101,EPI_FIRST_WAVE,12626950.0,4374.0,3.4640194187828413,-9,1
163,SAU,Saudi Arabia,30,EPI_FIRST_WAVE,34268528.0,320827.0,93.62147098935793,37,2
164,SDN,Sudan,20,EPI_FIRST_WAVE,42813238.0,13407.0,3.131508062996777,32,2
