,class,confirmed_during_wave,country,countrycode,dead_during_wave,first_date_c1_above_threshold,first_date_c2_above_threshold,first_date_c3_above_threshold,first_date_c4_above_threshold,first_date_c5_above_threshold,first_date_c6_above_threshold,first_date_c7_above_threshold,first_date_c8_above_threshold,first_date_h2_above_threshold,first_date_h3_above_threshold,first_date_si_above_threshold,population,response_time_t0_10_dead,response_time_t0_1_dead,response_time_t0_5_dead,si_at_t0_10_dead,si_at_t0_1_dead,si_at_t0_5_dead,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
54,3.0,149567.0,Ecuador,ECU,9982.0,2020-03-13,2020-03-17,2020-03-13,2020-07-23,2020-03-15,2020-03-17,2020-03-17,2020-03-15,,2020-10-05,2020-03-17,17373662.0,,,,83.33,83.33,83.33,2020-06-01,2020-06-01,2020-06-01,2.0,2020-11-27,2020-05-31
55,2.0,104386.0,Egypt,EGY,6040.0,2020-03-15,,2020-03-21,,2020-03-25,2020-03-25,2020-03-25,2020-03-19,,2020-02-14,2020-03-25,100388073.0,,,,40.74,0.0,29.63,2020-03-23,2020-03-09,2020-03-19,1.0,2020-10-12,2020-03-01
56,3.0,223959.0,Spain,ESP,26478.0,2020-03-09,2020-03-30,2020-03-10,2020-03-30,,2020-03-14,2020-07-04,2020-03-17,,2020-01-31,2020-03-14,47076781.0,,,,45.83,11.11,11.11,2020-03-10,2020-03-05,2020-03-07,1.0,2020-05-09,2020-02-24
57,3.0,1393394.0,Spain,ESP,17896.0,2020-03-09,2020-03-30,2020-03-10,2020-03-30,,2020-03-14,2020-07-04,2020-03-17,,2020-01-31,2020-03-14,47076781.0,,,,81.94,81.94,81.94,2020-05-10,2020-05-10,2020-05-10,2.0,2020-11-26,2020-05-09
58,3.0,1986.0,Estonia,EST,63.0,2020-03-16,2020-03-27,2020-03-12,2020-03-25,,2020-03-29,2020-03-14,,,,2020-03-25,1326590.0,,,,77.78,61.11,77.78,2020-04-03,2020-03-26,2020-04-02,1.0,2020-06-28,2020-02-27
59,3.0,8969.0,Estonia,EST,36.0,2020-03-16,2020-03-27,2020-03-12,2020-03-25,,2020-03-29,2020-03-14,,,,2020-03-25,1326590.0,,,,25.93,23.15,25.93,2020-10-24,2020-08-25,2020-10-10,2.0,2020-11-27,2020-06-28
60,2.0,100311.0,Ethiopia,ETH,1537.0,2020-03-25,,2020-03-16,2020-04-08,2020-03-30,,2020-03-26,,,2020-11-10,2020-03-26,112078730.0,,,,80.56,68.52,80.56,2020-06-01,2020-04-06,2020-05-10,1.0,2020-11-11,2020-03-30
61,3.0,7292.0,Finland,FIN,328.0,,,2020-03-12,2020-03-16,,,2020-03-27,2020-03-16,,,2020-03-16,5520314.0,,,,67.59,64.81,67.59,2020-03-30,2020-03-22,2020-03-28,1.0,2020-07-17,2020-02-26
62,3.0,15855.0,Finland,FIN,60.0,,,2020-03-12,2020-03-16,,,2020-03-27,2020-03-16,,,2020-03-16,5520314.0,,,,32.41,35.19,35.19,2020-09-15,2020-07-25,2020-08-11,2.0,2020-11-27,2020-07-17
63,4.0,145735.0,France,FRA,28595.0,2020-03-02,2020-03-17,2020-02-29,2020-02-29,,2020-03-17,2020-03-17,,2020-07-25,2020-05-11,2020-03-17,67059887.0,,,,41.2,8.33,41.2,2020-03-08,2020-02-15,2020-03-06,1.0,2020-05-28,2020-02-15
