,class,confirmed_during_wave,country,countrycode,dead_during_wave,first_date_c1_above_threshold,first_date_c2_above_threshold,first_date_c3_above_threshold,first_date_c4_above_threshold,first_date_c5_above_threshold,first_date_c6_above_threshold,first_date_c7_above_threshold,first_date_c8_above_threshold,first_date_h2_above_threshold,first_date_h3_above_threshold,first_date_si_above_threshold,population,response_time_t0_10_dead,response_time_t0_1_dead,response_time_t0_5_dead,si_at_t0_10_dead,si_at_t0_1_dead,si_at_t0_5_dead,t0_10_dead,t0_1_dead,t0_5_dead,wave,wave_end,wave_start
119,1.0,1077812.0,Mexico,MEX,104240.0,2020-03-23,2020-03-26,2020-03-24,,,2020-03-30,2020-03-30,,,,2020-03-26,127575529.0,,,,63.89,8.33,52.78,2020-03-28,2020-03-21,2020-03-25,1.0,2020-11-27,2020-03-21
120,1.0,4443.0,Mali,MLI,147.0,2020-03-19,,2020-03-25,,,,2020-03-25,2020-05-01,,2020-04-14,2020-03-25,19658031.0,,,,72.22,72.22,72.22,2020-04-14,2020-04-01,2020-04-06,1.0,2020-11-27,2020-04-01
121,1.0,85190.0,Myanmar,MMR,1845.0,2020-03-24,2020-04-10,2020-03-13,2020-04-17,2020-04-07,2020-04-14,2020-04-01,2020-09-26,2020-10-30,2020-10-30,2020-04-01,54045420.0,,,,81.48,65.74,86.11,2020-09-09,2020-04-01,2020-04-18,1.0,2020-11-27,2020-04-01
122,1.0,15258.0,Mozambique,MOZ,127.0,2020-03-23,,2020-03-23,,,,2020-06-17,2020-05-29,,2020-03-22,2020-05-29,30366036.0,,,,75.0,56.48,80.56,2020-07-19,2020-05-26,2020-06-22,1.0,2020-11-27,2020-05-26
123,2.0,5120.0,Mauritania,MRT,143.0,2020-03-16,,2020-03-19,2020-03-19,,2020-03-19,2020-03-29,2020-03-23,,2020-03-13,2020-03-23,4525696.0,,,,77.78,77.78,77.78,2020-05-28,2020-04-03,2020-05-22,1.0,2020-07-13,2020-04-03
124,2.0,5957.0,Malawi,MWI,184.0,2020-03-23,,2020-03-20,2020-08-08,,,,2020-03-20,,2020-04-03,2020-04-18,18628747.0,,,,60.19,56.48,60.19,2020-06-22,2020-04-08,2020-06-14,1.0,2020-11-16,2020-04-08
125,3.0,8636.0,Malaysia,MYS,121.0,2020-03-14,2020-03-18,2020-03-18,2020-11-03,,2020-10-14,2020-03-18,2020-05-23,2020-04-08,2020-01-24,2020-03-18,31949777.0,,,,73.15,73.15,73.15,2020-03-23,2020-03-18,2020-03-23,1.0,2020-07-06,2020-02-27
126,3.0,52094.0,Malaysia,MYS,227.0,2020-03-14,2020-03-18,2020-03-18,2020-11-03,,2020-10-14,2020-03-18,2020-05-23,2020-04-08,2020-01-24,2020-03-18,31949777.0,,,,52.78,50.93,57.41,2020-09-24,2020-07-12,2020-08-31,2.0,2020-11-27,2020-07-06
127,2.0,13195.0,Namibia,NAM,134.0,2020-03-17,,2020-03-17,2020-05-05,,2020-03-27,2020-03-27,2020-03-24,,2020-03-14,2020-03-27,2494530.0,,,,48.15,51.85,60.65,2020-07-31,2020-07-11,2020-07-22,1.0,2020-11-09,2020-05-21
128,1.0,66934.0,Nigeria,NGA,1168.0,2020-03-26,2020-03-29,2020-03-20,2020-03-28,2020-03-29,2020-03-29,2020-03-29,2020-03-23,,2020-02-28,2020-03-29,200963599.0,,,,82.87,48.61,82.87,2020-04-12,2020-03-24,2020-04-06,1.0,2020-11-27,2020-03-24
129,2.0,5512.0,Nicaragua,NIC,155.0,,,,,,,,,,,,6545502.0,,,,11.11,8.33,16.67,2020-05-23,2020-03-28,2020-05-04,1.0,2020-11-04,2020-03-28
130,3.0,50840.0,Netherlands,NLD,6135.0,2020-03-16,2020-03-15,2020-03-10,2020-08-18,,2020-03-23,,,,2020-02-27,2020-03-16,17332850.0,,,,54.63,1.85,41.67,2020-03-15,2020-03-07,2020-03-12,1.0,2020-07-11,2020-02-27
131,3.0,451670.0,Netherlands,NLD,3036.0,2020-03-16,2020-03-15,2020-03-10,2020-08-18,,2020-03-23,,,,2020-02-27,2020-03-16,17332850.0,,,,39.81,39.81,39.81,2020-08-06,2020-07-16,2020-07-26,2.0,2020-11-27,2020-07-11
132,3.0,9028.0,Norway,NOR,255.0,2020-03-12,,2020-03-24,2020-03-24,,,2020-03-16,2020-03-15,,2020-06-02,2020-03-16,5347896.0,,,,79.63,40.74,62.96,2020-03-25,2020-03-13,2020-03-20,1.0,2020-07-21,2020-02-26
133,3.0,25239.0,Norway,NOR,61.0,2020-03-12,,2020-03-24,2020-03-24,,,2020-03-16,2020-03-15,,2020-06-02,2020-03-16,5347896.0,,,,34.26,37.04,37.04,2020-09-11,2020-08-04,2020-08-15,2.0,2020-11-27,2020-07-21
134,3.0,17176.0,Nepal,NPL,39.0,2020-03-19,2020-03-22,2020-03-18,2020-03-22,2020-03-24,2020-03-23,2020-03-22,2020-03-23,,2020-01-24,2020-03-22,28608710.0,,,,92.59,92.59,92.59,2020-06-05,2020-05-17,2020-05-29,1.0,2020-07-16,2020-03-23
135,3.0,210463.0,Nepal,NPL,1373.0,2020-03-19,2020-03-22,2020-03-18,2020-03-22,2020-03-24,2020-03-23,2020-03-22,2020-03-23,,2020-01-24,2020-03-22,28608710.0,,,,78.7,92.59,78.7,2020-07-29,2020-07-18,2020-07-25,2.0,2020-11-27,2020-07-16
136,2.0,1154.0,New Zealand,NZL,22.0,2020-03-24,2020-03-25,2020-03-16,2020-03-23,2020-03-26,2020-03-23,2020-03-23,2020-03-20,,2020-02-28,2020-03-23,4917000.0,,,,96.3,96.3,96.3,2020-04-17,2020-03-29,2020-04-13,1.0,2020-05-29,2020-02-27
137,4.0,78967.0,Oman,OMN,420.0,2020-03-15,2020-07-25,2020-03-17,2020-03-17,2020-03-19,2020-04-10,2020-03-18,2020-03-18,2020-10-13,2020-03-17,2020-03-18,4974986.0,,,,92.59,85.19,92.59,2020-04-25,2020-04-01,2020-04-18,1.0,2020-08-05,2020-04-01
138,4.0,38810.0,Oman,OMN,782.0,2020-03-15,2020-07-25,2020-03-17,2020-03-17,2020-03-19,2020-04-10,2020-03-18,2020-03-18,2020-10-13,2020-03-17,2020-03-18,4974986.0,,,,86.11,86.11,86.11,2020-08-25,2020-08-25,2020-08-25,2.0,2020-11-27,2020-08-24
139,3.0,297014.0,Pakistan,PAK,6328.0,2020-02-27,2020-03-23,2020-03-13,2020-03-13,2020-03-23,2020-03-23,2020-03-24,2020-03-21,,2020-05-01,2020-03-23,216565318.0,,,,96.3,52.78,85.19,2020-03-29,2020-03-20,2020-03-23,1.0,2020-09-03,2020-02-26
140,3.0,92297.0,Pakistan,PAK,1569.0,2020-02-27,2020-03-23,2020-03-13,2020-03-13,2020-03-23,2020-03-23,2020-03-24,2020-03-21,,2020-05-01,2020-03-23,216565318.0,,,,47.69,47.69,47.69,2020-09-05,2020-09-04,2020-09-04,2.0,2020-11-27,2020-09-03
141,1.0,160280.0,Panama,PAN,3017.0,2020-03-12,2020-03-20,2020-03-13,2020-10-20,2020-04-03,2020-04-01,2020-03-23,2020-04-18,,2020-08-29,2020-03-20,4246439.0,,,,75.93,8.33,75.93,2020-03-28,2020-03-11,2020-03-24,1.0,2020-11-27,2020-03-11
142,2.0,695956.0,Peru,PER,30121.0,2020-03-12,2020-03-16,2020-03-12,2020-03-15,2020-05-01,2020-03-15,2020-03-15,2020-03-16,,2020-06-09,2020-03-15,32510453.0,,,,94.44,94.44,94.44,2020-03-28,2020-03-20,2020-03-22,1.0,2020-09-09,2020-03-20
143,1.0,424295.0,Philippines,PHL,8241.0,2020-03-10,2020-03-18,2020-03-15,2020-03-18,2020-03-15,2020-03-15,2020-03-15,2020-03-22,2020-07-03,2020-02-05,2020-03-15,108116615.0,,,,75.0,19.44,34.26,2020-03-16,2020-02-02,2020-03-14,1.0,2020-11-27,2020-02-02
144,1.0,941063.0,Poland,POL,15567.0,2020-03-12,,2020-03-10,2020-03-31,,2020-03-31,2020-03-31,2020-03-15,,2020-06-02,2020-03-31,37970874.0,,,,57.41,41.67,57.41,2020-03-25,2020-03-13,2020-03-18,1.0,2020-11-27,2020-03-13
145,1.0,87199.0,Puerto Rico,PRI,1067.0,2020-03-16,2020-03-15,2020-03-13,2020-03-15,2020-03-15,2020-03-15,2020-03-12,,2020-10-30,2020-04-07,2020-03-15,3193694.0,,,,93.52,93.52,93.52,2020-04-02,2020-03-28,2020-03-30,1.0,2020-11-27,2020-03-28
146,3.0,22323.0,Portugal,PRT,820.0,2020-03-16,2020-03-19,2020-03-19,2020-03-19,,2020-03-19,2020-04-09,,2020-04-10,2020-01-26,2020-03-19,10269417.0,,,,82.41,37.96,82.41,2020-03-22,2020-03-18,2020-03-21,1.0,2020-04-24,2020-03-09
147,3.0,258041.0,Portugal,PRT,3389.0,2020-03-16,2020-03-19,2020-03-19,2020-03-19,,2020-03-19,2020-04-09,,2020-04-10,2020-01-26,2020-03-19,10269417.0,,,,82.41,82.41,82.41,2020-04-25,2020-04-25,2020-04-25,2.0,2020-11-27,2020-04-24
148,1.0,79499.0,Paraguay,PRY,1703.0,2020-03-10,2020-03-13,2020-03-10,2020-03-21,2020-03-21,2020-03-17,2020-03-16,2020-03-24,,2020-03-07,2020-03-16,7044636.0,,,,94.44,85.19,93.52,2020-05-01,2020-03-21,2020-04-06,1.0,2020-11-27,2020-03-21
149,1.0,90648.0,Palestina,PSE,762.0,2020-03-06,2020-03-22,2020-03-05,2020-03-22,2020-03-22,2020-03-22,2020-03-05,2020-03-05,,,2020-03-06,4685306.0,,,,83.33,96.3,96.3,2020-07-02,2020-03-27,2020-05-24,1.0,2020-11-27,2020-03-27
150,2.0,111502.0,Qatar,QAT,177.0,2020-03-10,,2020-03-22,2020-03-22,2020-03-15,,2020-03-17,2020-03-18,2020-05-13,2020-03-08,2020-03-17,2832067.0,,,,83.33,86.11,86.11,2020-04-23,2020-03-29,2020-04-08,1.0,2020-08-07,2020-03-29
151,1.0,448916.0,Romania,ROU,10710.0,2020-03-11,,2020-03-08,2020-03-22,2020-03-31,2020-03-25,2020-03-30,2020-03-21,,2020-10-26,2020-03-19,19356544.0,,,,78.7,75.0,75.0,2020-03-25,2020-03-23,2020-03-24,1.0,2020-11-27,2020-03-23
152,1.0,2214693.0,Russia,RUS,38556.0,2020-03-21,2020-03-30,2020-03-10,2020-03-30,,2020-03-05,2020-03-05,2020-03-30,2020-04-06,2020-03-05,2020-03-17,144373535.0,,,,87.04,69.91,71.76,2020-03-31,2020-03-27,2020-03-29,1.0,2020-11-27,2020-03-27
153,2.0,4604.0,Rwanda,RWA,31.0,2020-03-16,2020-03-21,2020-03-08,,2020-03-21,2020-03-21,2020-03-21,2020-03-21,2020-03-21,2020-03-08,2020-03-21,12626950.0,,,,75.93,73.15,74.07,2020-08-19,2020-05-31,2020-07-19,1.0,2020-10-12,2020-05-18
154,2.0,354974.0,Saudi Arabia,SAU,5810.0,2020-03-09,,2020-03-13,2020-04-26,2020-03-21,2020-03-23,2020-03-08,2020-03-15,2020-05-27,2020-02-01,2020-03-16,34268528.0,,,,89.81,89.81,89.81,2020-04-01,2020-03-25,2020-03-30,1.0,2020-11-25,2020-03-25
155,3.0,13188.0,Sudan,SDN,822.0,2020-03-14,2020-04-18,2020-03-14,,2020-03-26,2020-04-18,2020-04-13,2020-03-16,,,2020-03-23,42813238.0,,,,87.04,45.37,79.63,2020-04-19,2020-03-15,2020-04-15,1.0,2020-09-06,2020-03-15
156,3.0,2998.0,Sudan,SDN,376.0,2020-03-14,2020-04-18,2020-03-14,,2020-03-26,2020-04-18,2020-04-13,2020-03-16,,,2020-03-23,42813238.0,,,,68.52,62.96,62.96,2020-09-08,2020-09-07,2020-09-07,2.0,2020-11-27,2020-09-06
157,2.0,15634.0,Senegal,SEN,326.0,2020-03-16,,2020-03-14,2020-03-23,,2020-03-25,2020-03-23,2020-03-20,2020-07-17,2020-03-06,2020-03-23,16296364.0,,,,77.78,77.78,77.78,2020-05-05,2020-04-02,2020-04-21,1.0,2020-11-06,2020-03-13
158,2.0,45422.0,Singapore,SGP,26.0,2020-04-08,2020-04-07,2020-03-13,2020-04-08,,2020-04-08,2020-04-08,,,2020-01-20,2020-04-07,5703569.0,,,,85.19,36.11,48.15,2020-04-15,2020-03-22,2020-04-03,1.0,2020-07-10,2020-01-23
159,3.0,27337.0,El Salvador,SLV,808.0,2020-03-11,2020-03-21,2020-03-21,2020-04-21,2020-05-07,2020-03-21,2020-03-18,2020-03-12,2020-04-24,,2020-03-18,6453553.0,,,,94.44,88.89,88.89,2020-05-01,2020-04-01,2020-04-09,1.0,2020-09-19,2020-03-25
160,3.0,11059.0,El Salvador,SLV,294.0,2020-03-11,2020-03-21,2020-03-21,2020-04-21,2020-05-07,2020-03-21,2020-03-18,2020-03-12,2020-04-24,,2020-03-18,6453553.0,,,,61.11,61.11,61.11,2020-09-23,2020-09-20,2020-09-22,2.0,2020-11-27,2020-09-19
161,1.0,4433.0,Somalia,SOM,112.0,2020-03-21,,2020-03-19,2020-09-25,,2020-09-11,2020-08-30,2020-03-18,,,2020-04-11,15442905.0,,,,60.19,52.78,60.19,2020-04-23,2020-04-10,2020-04-16,1.0,2020-11-27,2020-04-10
162,5.0,11430.0,Serbia,SRB,245.0,2020-03-16,2020-03-21,2020-03-15,2020-03-15,2020-03-21,2020-03-15,2020-03-18,2020-03-16,2020-05-22,2020-03-06,2020-03-16,6944975.0,,,,100.0,100.0,100.0,2020-03-29,2020-03-21,2020-03-28,1.0,2020-06-03,2020-03-13
163,5.0,20846.0,Serbia,SRB,486.0,2020-03-16,2020-03-21,2020-03-15,2020-03-15,2020-03-21,2020-03-15,2020-03-18,2020-03-16,2020-05-22,2020-03-06,2020-03-16,6944975.0,,,,24.07,43.52,24.07,2020-06-16,2020-06-05,2020-06-09,2.0,2020-09-13,2020-06-03
164,2.0,2493.0,South Sudan,SSD,47.0,2020-03-20,2020-03-28,2020-03-16,,2020-05-29,2020-04-18,2020-04-12,2020-03-24,,2020-05-07,2020-03-25,11062113.0,,,,85.19,73.15,73.15,2020-05-30,2020-05-15,2020-05-20,1.0,2020-08-23,2020-04-24
165,2.0,5279.0,Suriname,SUR,115.0,2020-03-16,2020-06-04,2020-03-13,2020-03-28,2020-04-06,2020-03-28,2020-03-16,2020-03-14,,,2020-03-28,581372.0,,,,81.48,71.3,93.52,2020-06-25,2020-04-04,2020-06-16,1.0,2020-11-21,2020-04-04
166,3.0,1505.0,Slovakia,SVK,28.0,2020-03-16,2020-10-22,2020-03-10,2020-04-08,,2020-04-08,2020-04-08,2020-03-13,2020-09-04,2020-01-01,2020-03-14,5454073.0,,,,75.0,75.0,75.0,2020-04-19,2020-04-07,2020-04-16,1.0,2020-06-05,2020-03-13
167,3.0,99731.0,Slovakia,SVK,721.0,2020-03-16,2020-10-22,2020-03-10,2020-04-08,,2020-04-08,2020-04-08,2020-03-13,2020-09-04,2020-01-01,2020-03-14,5454073.0,,,,31.48,35.19,32.41,2020-09-13,2020-08-01,2020-08-20,2.0,2020-11-27,2020-06-05
168,1.0,70798.0,Slovenia,SVN,854.0,2020-03-16,2020-03-20,2020-03-19,2020-03-19,2020-03-16,,2020-03-30,,,2020-03-04,2020-03-19,2087946.0,,,,89.81,50.93,78.7,2020-03-30,2020-03-18,2020-03-27,1.0,2020-11-27,2020-03-18
169,3.0,75176.0,Sweden,SWE,5721.0,,,2020-03-12,,,,,,,2020-01-31,2020-04-01,10285453.0,,,,27.78,27.78,27.78,2020-03-12,2020-03-12,2020-03-12,1.0,2020-07-28,2020-03-12
170,3.0,160559.0,Sweden,SWE,884.0,,,2020-03-12,,,,,,,2020-01-31,2020-04-01,10285453.0,,,,59.26,59.26,59.26,2020-08-03,2020-07-29,2020-07-30,2.0,2020-11-27,2020-07-28
171,2.0,5920.0,Swaziland,SWZ,117.0,2020-03-17,,2020-03-17,,2020-03-27,2020-03-27,2020-03-27,2020-03-27,,2020-03-13,2020-03-27,1148130.0,,,,84.26,84.26,84.26,2020-06-29,2020-04-18,2020-06-21,1.0,2020-11-03,2020-04-06
172,1.0,7533.0,Syria,SYR,398.0,2020-03-14,,2020-03-16,,2020-03-23,2020-03-25,2020-03-25,,,,2020-03-16,17070135.0,,,,69.44,84.26,69.44,2020-07-04,2020-03-30,2020-06-02,1.0,2020-11-27,2020-03-30
173,1.0,3919.0,Thailand,THA,59.0,2020-03-18,2020-04-03,2020-03-10,,,,2020-03-26,2020-03-25,,2020-04-14,2020-03-26,69625582.0,,,,68.06,0.0,68.06,2020-03-31,2020-03-01,2020-03-27,1.0,2020-11-27,2020-03-01
174,2.0,8405.0,Tajikistan,TJK,66.0,,,2020-04-18,,2020-06-03,2020-05-09,2020-06-15,2020-04-10,,,2020-06-03,9321018.0,,,,48.15,48.15,48.15,2020-05-08,2020-05-04,2020-05-06,1.0,2020-08-30,2020-05-04
175,2.0,5820.0,Trinidad and Tobago,TTO,110.0,2020-03-14,2020-03-30,2020-03-21,2020-03-31,,2020-03-30,2020-04-27,2020-03-23,,2020-03-13,2020-03-23,1394973.0,,,,60.19,60.19,79.63,2020-08-16,2020-03-26,2020-04-02,1.0,2020-11-11,2020-03-26
176,1.0,92421.0,Tunisia,TUN,3033.0,2020-03-13,2020-03-22,2020-03-13,2020-03-20,,2020-03-20,2020-03-20,2020-03-16,,2020-05-07,2020-03-20,11694719.0,,,,90.74,77.78,90.74,2020-04-02,2020-03-21,2020-03-26,1.0,2020-11-27,2020-03-21
177,3.0,169120.0,Turkey,TUR,4669.0,2020-03-16,,2020-03-16,2020-09-12,,2020-03-21,2020-03-28,2020-03-27,,2020-04-19,2020-03-21,83429615.0,,,,62.04,58.33,62.04,2020-03-22,2020-03-19,2020-03-21,1.0,2020-06-07,2020-03-18
178,3.0,305388.0,Turkey,TUR,8345.0,2020-03-16,,2020-03-16,2020-09-12,,2020-03-21,2020-03-28,2020-03-27,,2020-04-19,2020-03-21,83429615.0,,,,63.89,63.89,63.89,2020-06-08,2020-06-08,2020-06-08,2.0,2020-11-27,2020-06-07
179,1.0,18026.0,Uganda,UGA,190.0,2020-03-20,2020-03-25,2020-03-18,2020-03-30,2020-03-25,2020-03-30,2020-03-30,2020-06-22,,2020-08-10,2020-03-25,44269594.0,,,,81.48,79.63,76.85,2020-08-14,2020-07-25,2020-08-04,1.0,2020-11-27,2020-07-25
180,1.0,677170.0,Ukraine,UKR,11715.0,2020-03-12,,2020-03-12,2020-03-17,2020-03-18,,2020-03-12,2020-03-16,2020-09-17,2020-05-07,2020-03-16,44385155.0,,,,88.89,88.89,88.89,2020-03-31,2020-03-19,2020-03-27,1.0,2020-11-27,2020-03-19
181,1.0,4822.0,Uruguay,URY,73.0,2020-03-14,,2020-03-13,,,2020-04-02,2020-04-01,2020-03-24,2020-06-25,,2020-03-27,3461734.0,,,,62.96,62.96,72.22,2020-04-20,2020-03-30,2020-04-05,1.0,2020-11-27,2020-03-30
182,1.0,12883776.0,United States,USA,263454.0,2020-03-19,,2020-03-19,2020-03-27,2020-04-11,,,,2020-10-14,2020-07-22,2020-03-19,328239523.0,,,,19.44,11.11,19.44,2020-03-05,2020-03-01,2020-03-03,1.0,2020-11-27,2020-03-01
183,2.0,42965.0,Uzbekistan,UZB,338.0,2020-03-16,2020-03-21,2020-03-16,2020-04-28,2020-03-16,2020-03-27,2020-03-24,2020-03-16,,2020-03-15,2020-03-16,33580650.0,,,,96.3,90.74,90.74,2020-05-04,2020-03-29,2020-04-19,1.0,2020-09-05,2020-03-22
184,2.0,41051.0,Venezuela,VEN,342.0,2020-03-16,2020-03-16,2020-03-12,2020-05-13,2020-06-22,2020-03-13,2020-03-13,2020-03-18,2020-05-08,,2020-03-16,28515829.0,,,,82.41,82.41,82.41,2020-04-22,2020-03-27,2020-04-05,1.0,2020-08-27,2020-03-27
185,2.0,676071.0,South Africa,ZAF,16866.0,2020-03-18,2020-03-26,2020-03-16,2020-08-18,,2020-03-26,2020-03-26,2020-03-26,2020-05-01,2020-03-07,2020-03-26,58558270.0,,,,87.96,87.96,87.96,2020-04-06,2020-03-27,2020-04-01,1.0,2020-10-02,2020-03-12
186,2.0,17084.0,Zambia,ZMB,352.0,2020-03-20,2020-05-02,2020-04-15,2020-04-15,,2020-04-15,2020-04-14,2020-03-27,2020-11-16,2020-03-26,2020-04-15,17861030.0,,,,39.81,47.22,43.52,2020-06-09,2020-04-03,2020-05-10,1.0,2020-11-16,2020-04-03
187,2.0,7856.0,Zimbabwe,ZWE,227.0,2020-03-24,2020-03-30,2020-03-17,,,2020-03-30,2020-03-30,2020-03-23,,,2020-03-27,14645468.0,,,,76.85,56.48,70.37,2020-07-10,2020-03-24,2020-06-21,1.0,2020-10-03,2020-03-24
