"COUNTRYCODE","CLASS","t","stringency_index"
"AFG",2,-58,8.33
"AFG",2,-57,8.33
"AFG",2,-56,8.33
"AFG",2,-55,8.33
"AFG",2,-54,8.33
"AFG",2,-53,8.33
"AFG",2,-52,8.33
"AFG",2,-51,27.78
"AFG",2,-50,27.78
"AFG",2,-49,27.78
"AFG",2,-48,27.78
"AFG",2,-47,27.78
"AFG",2,-46,27.78
"AFG",2,-45,27.78
"AFG",2,-44,27.78
"AFG",2,-43,27.78
"AFG",2,-42,27.78
"AFG",2,-41,27.78
"AFG",2,-40,27.78
"AFG",2,-39,27.78
"AFG",2,-38,38.89
"AFG",2,-37,38.89
"AFG",2,-36,38.89
"AFG",2,-35,38.89
"AFG",2,-34,41.67
"AFG",2,-33,41.67
"AFG",2,-32,41.67
"AFG",2,-31,41.67
"AFG",2,-30,41.67
"AFG",2,-29,41.67
"AFG",2,-28,50.93
"AFG",2,-27,59.26
"AFG",2,-26,59.26
"AFG",2,-25,59.26
"AFG",2,-24,67.59
"AFG",2,-23,67.59
"AFG",2,-22,67.59
"AFG",2,-21,67.59
"AFG",2,-20,67.59
"AFG",2,-19,67.59
"AFG",2,-18,67.59
"AFG",2,-17,67.59
"AFG",2,-16,78.7
"AFG",2,-15,78.7
"AFG",2,-14,78.7
"AFG",2,-13,78.7
"AFG",2,-12,78.7
"AFG",2,-11,78.7
"AFG",2,-10,78.7
"AFG",2,-9,84.26
"AFG",2,-8,84.26
"AFG",2,-7,84.26
"AFG",2,-6,84.26
"AFG",2,-5,84.26
"AFG",2,-4,84.26
"AFG",2,-3,84.26
"AFG",2,-2,84.26
"AFG",2,-1,84.26
"AFG",2,0,84.26
"AFG",2,1,84.26
"AFG",2,2,84.26
"AFG",2,3,84.26
"AFG",2,4,84.26
"AFG",2,5,84.26
"AFG",2,6,84.26
"AFG",2,7,84.26
"AFG",2,8,84.26
"AFG",2,9,84.26
"AFG",2,10,84.26
"AFG",2,11,84.26
"AFG",2,12,84.26
"AFG",2,13,84.26
"AFG",2,14,84.26
"AFG",2,15,84.26
"AFG",2,16,84.26
"AFG",2,17,84.26
"AFG",2,18,84.26
"AFG",2,19,84.26
"AFG",2,20,84.26
"AFG",2,21,84.26
"AFG",2,22,84.26
"AFG",2,23,84.26
"AFG",2,24,84.26
"AFG",2,25,84.26
"AFG",2,26,84.26
"AFG",2,27,84.26
"AFG",2,28,84.26
"AFG",2,29,84.26
"AFG",2,30,84.26
"AFG",2,31,84.26
"AFG",2,32,84.26
"AFG",2,33,84.26
"AFG",2,34,84.26
"AFG",2,35,84.26
"AFG",2,36,84.26
"AFG",2,37,84.26
"AFG",2,38,84.26
"AFG",2,39,84.26
"AFG",2,40,84.26
"AFG",2,41,84.26
"AFG",2,42,84.26
"AFG",2,43,84.26
"AFG",2,44,84.26
"AFG",2,45,84.26
"AFG",2,46,84.26
"AFG",2,47,84.26
"AFG",2,48,84.26
"AFG",2,49,78.7
"AFG",2,50,78.7
"AFG",2,51,78.7
"AFG",2,52,78.7
"AFG",2,53,78.7
"AFG",2,54,78.7
"AFG",2,55,78.7
"AFG",2,56,78.7
"AFG",2,57,78.7
"AFG",2,58,78.7
"AFG",2,59,78.7
"AFG",2,60,78.7
"AFG",2,61,78.7
"AFG",2,62,78.7
"AFG",2,63,78.7
"AFG",2,64,78.7
"AFG",2,65,78.7
"AFG",2,66,78.7
"AFG",2,67,78.7
"AFG",2,68,78.7
"AFG",2,69,78.7
"AFG",2,70,78.7
"AFG",2,71,78.7
"AFG",2,72,78.7
"AFG",2,73,78.7
"AFG",2,74,78.7
"AFG",2,75,78.7
"AFG",2,76,78.7
"AFG",2,77,78.7
"AFG",2,78,78.7
"AFG",2,79,78.7
"AFG",2,80,78.7
"AFG",2,81,78.7
"AFG",2,82,78.7
"AFG",2,83,78.7
"AFG",2,84,78.7
"AFG",2,85,78.7
"AFG",2,86,78.7
"AFG",2,87,78.7
"AFG",2,88,78.7
"AFG",2,89,78.7
"AFG",2,90,78.7
"AFG",2,91,78.7
"AFG",2,92,78.7
"AFG",2,93,78.7
"AFG",2,94,78.7
"AFG",2,95,78.7
"AFG",2,96,78.7
"AFG",2,97,78.7
"AFG",2,98,78.7
"AFG",2,99,78.7
"AFG",2,100,78.7
"AFG",2,101,78.7
"AFG",2,102,78.7
"AFG",2,103,78.7
"AFG",2,104,78.7
"AFG",2,105,75
"AFG",2,106,71.3
"AFG",2,107,71.3
"AFG",2,108,71.3
"AFG",2,109,71.3
"AFG",2,110,71.3
"AFG",2,111,71.3
"AFG",2,112,71.3
"AFG",2,113,71.3
"AFG",2,114,71.3
"AFG",2,115,71.3
"AFG",2,116,62.04
"AFG",2,117,62.04
"AFG",2,118,62.04
"AGO",1,-131,11.11
"AGO",1,-130,11.11
"AGO",1,-129,33.33
"AGO",1,-128,33.33
"AGO",1,-127,33.33
"AGO",1,-126,90.74
"AGO",1,-125,90.74
"AGO",1,-124,90.74
"AGO",1,-123,90.74
"AGO",1,-122,90.74
"AGO",1,-121,90.74
"AGO",1,-120,90.74
"AGO",1,-119,90.74
"AGO",1,-118,90.74
"AGO",1,-117,90.74
"AGO",1,-116,90.74
"AGO",1,-115,90.74
"AGO",1,-114,90.74
"AGO",1,-113,90.74
"AGO",1,-112,90.74
"AGO",1,-111,90.74
"AGO",1,-110,90.74
"AGO",1,-109,90.74
"AGO",1,-108,90.74
"AGO",1,-107,90.74
"AGO",1,-106,90.74
"AGO",1,-105,90.74
"AGO",1,-104,90.74
"AGO",1,-103,90.74
"AGO",1,-102,90.74
"AGO",1,-101,90.74
"AGO",1,-100,90.74
"AGO",1,-99,78.7
"AGO",1,-98,78.7
"AGO",1,-97,78.7
"AGO",1,-96,78.7
"AGO",1,-95,78.7
"AGO",1,-94,78.7
"AGO",1,-93,78.7
"AGO",1,-92,78.7
"AGO",1,-91,78.7
"AGO",1,-90,78.7
"AGO",1,-89,78.7
"AGO",1,-88,78.7
"AGO",1,-87,78.7
"AGO",1,-86,78.7
"AGO",1,-85,78.7
"AGO",1,-84,75.93
"AGO",1,-83,75.93
"AGO",1,-82,75.93
"AGO",1,-81,75.93
"AGO",1,-80,75.93
"AGO",1,-79,75.93
"AGO",1,-78,75.93
"AGO",1,-77,75.93
"AGO",1,-76,75.93
"AGO",1,-75,81.48
"AGO",1,-74,81.48
"AGO",1,-73,81.48
"AGO",1,-72,81.48
"AGO",1,-71,81.48
"AGO",1,-70,81.48
"AGO",1,-69,81.48
"AGO",1,-68,81.48
"AGO",1,-67,81.48
"AGO",1,-66,77.78
"AGO",1,-65,77.78
"AGO",1,-64,77.78
"AGO",1,-63,77.78
"AGO",1,-62,77.78
"AGO",1,-61,77.78
"AGO",1,-60,77.78
"AGO",1,-59,77.78
"AGO",1,-58,77.78
"AGO",1,-57,77.78
"AGO",1,-56,77.78
"AGO",1,-55,77.78
"AGO",1,-54,77.78
"AGO",1,-53,75.93
"AGO",1,-52,75.93
"AGO",1,-51,75.93
"AGO",1,-50,75.93
"AGO",1,-49,75.93
"AGO",1,-48,75.93
"AGO",1,-47,75.93
"AGO",1,-46,75.93
"AGO",1,-45,75.93
"AGO",1,-44,75.93
