,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,MAX_SI,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,DEAD_PEAK_1,DEAD_PEAK_2,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
12,AZE,Azerbaijan,129,EPI_SECOND_WAVE,10023318.0,48221.0,48.10881985386476,656.0,0.6544738977651912,2020-03-22,2020-03-21,2020-04-01,2020-04-11,206,97.22,585.0,,7.435867951362728,,3.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,2.0,2.0,61.11,3.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,96.3,-18,10,-7,-7,92.0,10,-2,26,,-22.0,-2,194.0,40.0,198.0,198.0,77.0,145.0,193.0,165.0,0.0,207.0,193,3
13,BDI,Burundi,-24,EPI_FIRST_WAVE,11530580.0,553.0,0.47959426152023577,1.0,0.0008672590624235728,2020-06-01,2020-04-15,,,168,13.89,1.0,,-3.224832098525648e-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,13.89,,,,,,,,,,-14.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,2
14,BEL,Belgium,10,EPI_FIRST_WAVE,11484055.0,287606.0,250.43941360434098,10658.0,9.280693970901392,2020-03-03,2020-03-10,2020-03-12,2020-03-14,,81.48,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,19.44,,,,,,,,,,,,,8,4,8,,8,4,10,,-13.0,8,,,,,,,,,,,,1
15,BEN,Benin,-8,EPI_FIRST_WAVE,11801151.0,2557.0,2.166737803795579,41.0,0.03474237385827874,2020-04-27,2020-04-07,2020-06-13,2020-06-19,193,70.83,40.0,,0.684321053793809,,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,70.83,2.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,41.67,-8,,-21,-8,-8.0,,-8,40,,-31.0,-8,42.0,0.0,77.0,42.0,64.0,0.0,42.0,1.0,0.0,194.0,43,2
16,BES,"Bonaire, Sint Eustatius and Saba",,EPI_FIRST_WAVE,,150.0,,3.0,,,2020-09-15,,,205,,3.0,,0.03312328435242157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
17,BFA,Burkina Faso,46,EPI_SECOND_WAVE,20321378.0,2433.0,1.1972613274552542,65.0,0.03198601984570141,2020-03-26,2020-03-19,2020-03-29,2020-03-31,93,89.81,53.0,12.0,1.3104262660606523,0.0381144280567432,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.33,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,84.26,-3,,-7,,4.0,2,2,2,175.0,-10.0,2,77.0,0.0,93.0,0.0,43.0,72.0,45.0,84.0,0.0,94.0,72,4
18,BGD,Bangladesh,20,EPI_FIRST_WAVE,163046161.0,396413.0,24.312930618464545,5761.0,0.353335519503584,2020-04-15,2020-03-22,2020-03-26,2020-04-07,197,93.52,5346.0,,42.131824826007396,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,81.48,3.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,74.54,-6,-3,-1,-3,-3.0,-3,-3,,,,-3,198.0,136.0,198.0,182.0,70.0,166.0,182.0,0.0,0.0,0.0,198,2
19,BGR,Bulgaria,9,EPI_FIRST_WAVE,6975761.0,36519.0,52.35127751653189,1077.0,1.5439175740109214,2020-03-15,2020-03-12,2020-03-29,2020-04-02,,73.15,,,,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.85,,,,,,,,,,,,1,,1,1,,6,6,63,,48.0,6,,,,,,,,,,,,1
20,BHR,Bahrain,11,EPI_SECOND_WAVE,1641172.0,79574.0,484.8608189757076,312.0,1.9010804473875986,2020-02-26,2020-03-17,2020-04-08,2020-05-14,192,78.7,170.0,142.0,2.553436765377403,1.947886196560325,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,30.56,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,75.0,-20,9,1,5,,184,,,14.0,-23.0,1,174.0,14.0,153.0,149.0,0.0,0.0,0.0,0.0,140.0,177.0,153,4
21,BHS,Bahamas,,EPI_FIRST_WAVE,389482.0,6268.0,160.93169902588568,130.0,3.33776657201103,2020-03-19,2020-04-02,2020-04-06,2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,BIH,Bosnia and Herzegovina,19,EPI_FIRST_WAVE,3301000.0,38493.0,116.61011814601636,1065.0,3.2262950621023934,2020-03-16,2020-03-22,2020-03-29,2020-04-01,,92.59,,,,,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,0.0,89.81,,,,,,,,,,,,-11,-5,-5,-4,-5.0,-2,-2,50,,,-5,,,,,,,,,,,,1
23,BLR,Belarus,1,EPI_SECOND_WAVE,9466856.0,91167.0,96.30124298922472,945.0,0.9982194722302737,2020-03-20,2020-04-03,2020-04-05,2020-04-07,145,19.44,589.0,,4.830516667408837,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,13.89,1,,,,,,,,17.0,6.0,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,125.0,0,3
24,BLZ,Belize,39,,390353.0,3050.0,78.13440654996887,46.0,1.1784205578028093,2020-03-26,2020-04-06,2020-08-20,2020-08-25,,85.19,,,,,3.0,3.0,2.0,3.0,0.0,0.0,2.0,4.0,1.0,2.0,75.0,,,,,,,,,,,,-17,-5,-21,39,,21,-5,-17,,-12.0,-5,,,,,,,,,,,,0
25,BMU,Bermuda,-3,,63918.0,190.0,29.72558590694327,9.0,1.4080540692762602,2020-03-20,2020-04-07,2020-04-15,,,96.3,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,96.3,,,,,,,,,,,,-18,-3,-3,-3,-19.0,-3,-3,-18,32.0,-69.0,-3,,,,,,,,,,,,0
26,BOL,Bolivia,1,EPI_FIRST_WAVE,11513100.0,140612.0,122.13217986467589,8608.0,7.476700454265141,2020-03-27,2020-03-30,2020-03-31,2020-04-04,226,96.3,8608.0,,64.36123267424533,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,93.52,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,89.81,-18,-8,-18,-13,-14.0,-13,-9,1,,,-13,217.0,96.0,217.0,212.0,213.0,212.0,208.0,154.0,0.0,0.0,209,2
27,BRA,Brazil,48,EPI_FIRST_WAVE,211049527.0,5353656.0,253.66823020645765,156471.0,7.413946964211865,2020-03-22,2020-03-18,2020-03-20,2020-03-21,228,81.02,153214.0,,1025.3881405616353,,3.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,60.65,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,0.0,72.69,-6,-1,-6,39,3.0,48,-1,9,,159.0,0,217.0,180.0,217.0,172.0,208.0,163.0,212.0,124.0,0.0,52.0,189,2
28,BRB,Barbados,2,,287025.0,227.0,7.908718752721889,7.0,0.2438811950178556,2020-03-20,2020-04-06,2020-04-15,,,88.89,,,,,3.0,3.0,2.0,4.0,0.0,3.0,2.0,2.0,1.0,2.0,83.33,,,,,,,,,,,,-18,-9,-20,-3,,-3,-9,,,-17.0,-9,,,,,,,,,,,,0
29,BRN,Brunei,13,,433285.0,148.0,3.4157656046251312,3.0,0.06923849198564455,2020-03-11,2020-03-29,,,,58.33,,,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,52.78,,,,,,,,,,,,-18,,-16,,,,,-5,,,,,,,,,,,,,,,0
30,BTN,Bhutan,,,763092.0,336.0,4.403138808950952,0.0,0.0,2020-03-29,,,,,83.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,BWA,Botswana,0,EPI_FIRST_WAVE,2303697.0,5923.0,25.71084652191673,21.0,0.09115782153642601,2020-04-10,2020-04-02,2020-08-27,2020-09-11,205,86.11,20.0,,0.270191409753153,,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,86.11,1.0,1.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,2.0,,-14,0,-17,0,,0,0,-14,,165.0,-8,64.0,39.0,82.0,62.0,0.0,65.0,154.0,185.0,0.0,31.0,82,2
32,CAF,Central African Republic,-16,EPI_FIRST_WAVE,4745185.0,4862.0,10.246175860372146,62.0,0.13065876251400105,2020-04-28,2020-05-24,2020-06-07,2020-06-16,197,75.93,62.0,,1.9267738404401928,,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,1.0,75.93,3.0,0.0,2.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,64.81,-59,,-59,,,-16,-59,-59,,93.0,-59,158.0,0.0,167.0,0.0,0.0,34.0,95.0,95.0,0.0,51.0,95,2
33,CAN,Canada,22,EPI_SECOND_WAVE,37589262.0,211732.0,56.32778850513213,9888.0,2.630538476653253,2020-03-15,2020-03-10,2020-03-18,2020-03-20,120,74.54,8591.0,,151.33803672154767,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.78,3.0,3.0,2.0,4.0,0.0,1.0,2.0,4.0,3.0,1.0,72.69,6,8,2,13,,,10,8,9.0,143.0,8,108.0,96.0,112.0,101.0,0.0,0.0,104.0,106.0,105.0,0.0,106,3
34,CHE,Switzerland,11,EPI_FIRST_WAVE,8574832.0,103323.0,120.49565519184516,1876.0,2.1877979650213555,2020-03-05,2020-03-06,2020-03-14,2020-03-15,,73.15,,,,,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,25.0,,,,,,,,,,,,7,11,-10,11,,,,,97.0,66.0,11,,,,,,,,,,,,1
35,CHL,Chile,102,EPI_FIRST_WAVE,18952038.0,498906.0,263.2466228697937,13844.0,7.304755298612212,2020-03-17,2020-03-23,2020-03-28,2020-04-01,234,89.35,13844.0,,167.83220391398802,,3.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,51.85,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,2.0,2.0,78.24,-8,-7,-7,53,102.0,2,2,131,,7.0,2,214.0,158.0,213.0,87.0,104.0,204.0,204.0,75.0,0.0,199.0,191,2
36,CHN,China,75,EPI_FIRST_WAVE,1397715000.0,91106.0,0.651821007859256,4739.0,0.03390533835581646,2020-01-30,2020-01-11,2020-01-21,2020-01-22,64,81.94,3179.0,,97.1421922590989,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.78,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,1.0,2.0,75.46,15,15,11,11,12.0,21,12,,80.0,-6.0,15,48.0,48.0,52.0,52.0,51.0,42.0,51.0,0.0,0.0,65.0,48,2
37,CIV,Côte d'Ivoire,-6,EPI_FIRST_WAVE,25716544.0,20405.0,7.934580945246764,121.0,0.04705142339499429,2020-03-29,2020-03-30,2020-04-13,2020-04-21,226,80.56,121.0,,1.437039774759305,,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,80.56,0.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,57.41,-14,,-11,,,,-6,-8,,108.0,-8,61.0,0.0,134.0,0.0,0.0,0.0,114.0,101.0,0.0,91.0,99,2
38,CMR,Cameroon,24,EPI_FIRST_WAVE,25876380.0,21570.0,8.335787308734838,425.0,0.16424244813223488,2020-03-31,2020-03-25,2020-04-01,2020-04-09,231,71.3,425.0,,5.192022333607081,,3.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,57.41,2.0,0.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,1.0,60.19,-7,,-7,,,,,24,,,10,75.0,0.0,211.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,145,2
39,COD,Democratic Republic of the Congo,15,EPI_FIRST_WAVE,86790567.0,11121.0,1.2813604501512244,303.0,0.034911628126591224,2020-04-26,2020-03-22,2020-03-29,2020-04-02,197,80.56,270.0,,3.621692182379804,,3.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,58.33,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,80.56,-3,,-3,,2.0,15,-4,2,,,2,144.0,0.0,125.0,0.0,120.0,113.0,191.0,144.0,0.0,0.0,127,2
40,COG,Republic of Congo,-1,EPI_SECOND_WAVE,5380508.0,5156.0,9.582738284191754,92.0,0.17098757217719962,2020-04-03,2020-04-01,2020-04-05,2020-05-02,153,97.22,60.0,32.0,0.35740484169740816,0.4985532745927103,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,97.22,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,73.15,-4,-4,-4,,-1.0,-4,-4,-11,,,-4,51.0,79.0,142.0,0.0,63.0,142.0,122.0,149.0,0.0,0.0,135,4
41,COL,Colombia,36,EPI_FIRST_WAVE,50339443.0,998942.0,198.44121040433444,29802.0,5.920208533097992,2020-03-24,2020-03-22,2020-03-27,2020-03-30,204,90.74,25296.0,,318.20577831715053,,3.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,50.93,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,87.04,-6,3,-10,33,,3,3,3,,12.0,3,196.0,78.0,200.0,130.0,0.0,160.0,160.0,178.0,0.0,178.0,178,2
42,COM,Comoros,,EPI_SECOND_WAVE,850886.0,517.0,6.076019584292138,7.0,0.08226718972929394,2020-05-07,2020-05-05,2020-06-19,,160,,7.0,,0.28095048253092914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
43,CPV,Cape Verde,38,,549935.0,8198.0,149.07216307381782,94.0,1.7092929164355788,2020-03-22,2020-03-25,2020-06-03,2020-06-27,,87.96,,,,,2.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,50.93,,,,,,,,,,,,3,3,-9,54,,7,-5,-6,48.0,54.0,3,,,,,,,,,,,,0
44,CRI,Costa Rica,39,EPI_FIRST_WAVE,5047561.0,101826.0,201.73307464733958,1265.0,2.506160896322006,2020-03-14,2020-03-19,2020-04-21,2020-05-17,,81.48,,,,,3.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,62.96,,,,,,,,,,,,-2,25,-9,,2.0,,-2,-2,,-57.0,-2,,,,,,,,,,,,1
45,CUB,Cuba,53,EPI_THIRD_WAVE,11333483.0,6479.0,5.7166892119571715,128.0,0.11293968500239511,2020-03-26,2020-03-19,2020-04-01,2020-04-08,123,100.0,87.0,36.0,2.2418159670417857,0.9436525742205152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,13.89,3.0,3.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,1.0,83.33,5,29,1,53,5.0,5,4,29,140.0,47.0,5,112.0,77.0,116.0,64.0,101.0,86.0,113.0,88.0,0.0,70.0,112,5
46,CUW,Curaçao,,,157538.0,818.0,51.923980246035875,1.0,0.06347674846703652,2020-03-13,2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47,CYM,Cayman Islands,26,,64948.0,239.0,36.798669704994765,1.0,0.15396932930960153,2020-03-20,2020-03-21,,,,94.44,,,,,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,47.22,,,,,,,,,,,,-5,7,-8,7,7.0,3,4,-5,48.0,0.0,3,,,,,,,,,,,,0
48,CYP,Cyprus,22,EPI_FIRST_WAVE,1198575.0,3314.0,27.6495004484492,25.0,0.2085810232985003,2020-03-12,2020-03-25,2020-03-28,2020-04-10,,94.44,,,,,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,92.59,,,,,,,,,,,,-12,22,-15,-2,-1.0,-1,-1,-10,17.0,22.0,-2,,,,,,,,,,,,1
49,CZE,Czech Republic,0,EPI_FIRST_WAVE,10669709.0,238323.0,223.36410486921434,1971.0,1.8472856195047118,2020-03-11,2020-03-23,2020-03-26,2020-03-29,,82.41,,,,,3.0,3.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,2.0,82.41,,,,,,,,,,,,-12,-9,-12,0,,-8,-7,-7,,-22.0,-9,,,,,,,,,,,,1
50,DEU,Germany,12,EPI_SECOND_WAVE,83132799.0,418005.0,50.28159824138725,10003.0,1.203255528542952,2020-03-07,2020-03-10,2020-03-13,2020-03-16,102,76.85,8668.0,,128.05822205266088,,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,32.87,3.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,1.0,1.0,76.85,6,,0,11,,11,9,8,50.0,-48.0,11,49.0,0.0,90.0,79.0,0.0,46.0,81.0,59.0,40.0,21.0,79,3
51,DJI,Djibouti,-18,EPI_SECOND_WAVE,973560.0,5528.0,56.781297506060234,61.0,0.6265664160401002,2020-03-26,2020-04-10,2020-05-19,2020-05-22,46,100.0,2.0,58.0,0.0718759501032253,1.2602033515535993,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,100.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,100.0,-22,-18,-18,-18,-19.0,-18,-18,-23,3.0,-23.0,-18,47.0,43.0,43.0,43.0,44.0,43.0,43.0,47.0,22.0,47.0,43,4
52,DMA,Dominica,,,71808.0,37.0,5.152629233511586,0.0,0.0,2020-03-23,,,,,79.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,DNK,Denmark,2,EPI_SECOND_WAVE,5818553.0,38622.0,66.37732783391334,697.0,1.1978923282128735,2020-03-08,2020-03-16,2020-03-20,2020-03-22,140,72.22,609.0,,13.896541558449822,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,65.74,3.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,72.22,-3,,,2,,,,-2,57.0,38.0,-3,33.0,0.0,0.0,51.0,0.0,0.0,0.0,72.0,58.0,77.0,73,3
54,DOM,Dominican Republic,38,EPI_FIRST_WAVE,10738958.0,123384.0,114.89382861912674,2214.0,2.061652536493764,2020-03-22,2020-03-21,2020-03-25,2020-03-26,234,97.22,2214.0,,14.858580471093639,,3.0,3.0,2.0,0.0,2.0,1.0,2.0,4.0,0.0,1.0,81.48,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,78.7,-2,-2,-2,,-2.0,28,-1,-2,,,-2,210.0,62.0,210.0,0.0,62.0,158.0,209.0,104.0,0.0,0.0,202,2
55,DZA,Algeria,32,EPI_FIRST_WAVE,43053054.0,55630.0,12.921266862973297,1897.0,0.4406191486439034,2020-03-24,2020-03-13,2020-03-18,2020-03-21,220,92.13,1768.0,,10.63148162741709,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.56,3.0,2.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,2.0,74.07,-1,17,-3,17,10.0,10,10,4,,107.0,10,173.0,25.0,158.0,94.0,143.0,198.0,123.0,204.0,0.0,101.0,198,2
56,ECU,Ecuador,3,EPI_SECOND_WAVE,17373662.0,158270.0,91.09766265741787,12528.0,7.210915004562653,2020-03-18,2020-03-14,2020-03-21,2020-03-23,89,93.52,3313.0,,71.51557129530178,,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.11,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,93.52,-1,3,-1,131,1.0,3,3,1,,,3,78.0,74.0,78.0,0.0,76.0,74.0,74.0,76.0,0.0,0.0,74,3
57,EGY,Egypt,16,EPI_FIRST_WAVE,100388073.0,106230.0,10.581934369832958,6176.0,0.6152125262928396,2020-03-29,2020-03-09,2020-03-19,2020-03-23,226,84.26,5956.0,,75.40687397118953,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,71.3,6,,12,,16.0,16,16,10,,-24.0,16,84.0,0.0,197.0,0.0,74.0,74.0,193.0,104.0,0.0,227.0,193,2
58,ERI,Eritrea,,EPI_SECOND_WAVE,3213972.0,461.0,1.4343622159745013,0.0,0.0,2020-04-02,,,,80,96.3,0.0,,0.0,,,,,,,,,,,,,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,93.52,,,,,,,,,,,,81.0,81.0,81.0,81.0,81.0,81.0,81.0,0.0,0.0,0.0,81,3
59,ESH,Western Sahara,,EPI_FIRST_WAVE,,766.0,,1.0,,,2020-05-30,,,67,,0.0,,-0.0013664154456721263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
60,ESP,Spain,25,EPI_SECOND_WAVE,47076781.0,1046132.0,222.21825234822236,34752.0,7.381983062945617,2020-03-04,2020-03-05,2020-03-07,2020-03-10,119,85.19,28324.0,,696.5515233230797,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,3.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,85.19,4,25,5,25,,9,121,12,,-34.0,9,78.0,53.0,105.0,63.0,0.0,74.0,0.0,96.0,0.0,0.0,86,3
61,EST,Estonia,3,EPI_SECOND_WAVE,1326590.0,4300.0,32.41393346851702,73.0,0.5502830565585448,2020-03-07,2020-03-26,2020-04-02,2020-04-03,128,77.78,63.0,,1.3590545686570534,,3.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,61.11,3.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,0.0,77.78,-10,1,-14,-1,,3,-12,,,,-1,60.0,45.0,81.0,68.0,0.0,50.0,55.0,0.0,0.0,0.0,51,3
62,ETH,Ethiopia,2,EPI_FIRST_WAVE,112078730.0,92229.0,8.228947633507268,1400.0,0.12491219341975056,2020-05-25,2020-04-06,2020-05-10,2020-06-01,224,80.56,1400.0,,18.636036953993596,,3.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,68.52,3.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,80.56,-12,,-21,2,-7.0,,-11,,,,-11,203.0,0.0,212.0,189.0,198.0,0.0,202.0,0.0,0.0,0.0,200,2
63,FIN,Finland,6,EPI_SECOND_WAVE,5520314.0,14474.0,26.21952301988619,353.0,0.6394563787494697,2020-03-09,2020-03-22,2020-03-28,2020-03-30,142,62.96,328.0,,5.100226195814071,,2.0,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,60.19,2.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,62.96,,,-10,,,,6,-3,,,-3,0.0,0.0,100.0,0.0,0.0,0.0,18.0,56.0,0.0,0.0,56,3
64,FJI,Fiji,-124,,889953.0,33.0,0.3708060987490351,2.0,0.02247309689388091,2020-03-25,2020-08-01,,,,88.89,,,,,0.0,2.0,1.0,3.0,0.0,2.0,0.0,4.0,3.0,2.0,50.93,,,,,,,,,,,,-135,-135,-138,,-135.0,-135,-135,-125,-106.0,-135.0,-135,,,,,,,,,,,,0
65,FLK,Falkland Islands,,,,13.0,,0.0,,,,,,,79.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,FRA,France,31,EPI_FIRST_WAVE,67059887.0,1041075.0,155.24556431179192,34508.0,5.145848217728133,2020-03-06,2020-02-15,2020-03-06,2020-03-08,,87.96,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.89,,,,,,,,,,,,16,31,14,14,,31,31,,161.0,86.0,30,,,,,,,,,,,,1
