,COUNTRYCODE,COUNTRY,GOV_MAX_SI_DAYS_FROM_T0,CLASS_COARSE,POPULATION,EPI_CONFIRMED,EPI_CONFIRMED_PER_10K,EPI_DEAD,EPI_DEAD_PER_10K,T0_POP,T0_1_DEAD,T0_5_DEAD,T0_10_DEAD,EPI_DURATION_FIRST_WAVE,MAX_SI,DEAD_FIRST_WAVE,DEAD_SECOND_WAVE,DEAD_PEAK_1,DEAD_PEAK_2,C1_SCHOOL_CLOSING_AT_T0,C2_WORKPLACE_CLOSING_AT_T0,C3_CANCEL_PUBLIC_EVENTS_AT_T0,C4_RESTRICTIONS_ON_GATHERINGS_AT_T0,C5_CLOSE_PUBLIC_TRANSPORT_AT_T0,C6_STAY_AT_HOME_REQUIREMENTS_AT_T0,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_T0,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_T0,H2_TESTING_POLICY_AT_T0,H3_CONTACT_TRACING_AT_T0,SI_AT_T0,C1_SCHOOL_CLOSING_AT_PEAK_1,C2_WORKPLACE_CLOSING_AT_PEAK_1,C3_CANCEL_PUBLIC_EVENTS_AT_PEAK_1,C4_RESTRICTIONS_ON_GATHERINGS_AT_PEAK_1,C5_CLOSE_PUBLIC_TRANSPORT_AT_PEAK_1,C6_STAY_AT_HOME_REQUIREMENTS_AT_PEAK_1,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_AT_PEAK_1,C8_INTERNATIONAL_TRAVEL_CONTROLS_AT_PEAK_1,H2_TESTING_POLICY_AT_PEAK_1,H3_CONTACT_TRACING_AT_PEAK_1,SI_AT_PEAK_1,C1_SCHOOL_CLOSING_DAYS_TO_THRESHOLD,C2_WORKPLACE_CLOSING_DAYS_TO_THRESHOLD,C3_CANCEL_PUBLIC_EVENTS_DAYS_TO_THRESHOLD,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_TO_THRESHOLD,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_TO_THRESHOLD,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_TO_THRESHOLD,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_TO_THRESHOLD,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_TO_THRESHOLD,H2_TESTING_POLICY_DAYS_TO_THRESHOLD,H3_CONTACT_TRACING_DAYS_TO_THRESHOLD,SI_DAYS_TO_THRESHOLD,C1_SCHOOL_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C2_WORKPLACE_CLOSING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C3_CANCEL_PUBLIC_EVENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C4_RESTRICTIONS_ON_GATHERINGS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C5_CLOSE_PUBLIC_TRANSPORT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C6_STAY_AT_HOME_REQUIREMENTS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C7_RESTRICTIONS_ON_INTERNAL_MOVEMENT_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,C8_INTERNATIONAL_TRAVEL_CONTROLS_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H2_TESTING_POLICY_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,H3_CONTACT_TRACING_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,SI_DAYS_ABOVE_THRESHOLD_FIRST_WAVE,CLASS
194,UGA,Uganda,-117,EPI_FIRST_WAVE,44269594.0,11163.0,2.5215952963110526,99.0,0.022362978978302805,2020-05-17,2020-07-25,2020-08-04,2020-08-14,191,93.52,99.0,,1.4003423289143069,,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,79.63,3.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,78.7,-127,-122,-129,-117,-122.0,-117,-117,-33,,16.0,-122,181.0,20.0,181.0,181.0,102.0,156.0,173.0,18.0,0.0,52.0,173,2
195,UKR,Ukraine,-1,EPI_FIRST_WAVE,44385155.0,330396.0,74.43840175842575,6164.0,1.3887526133456107,2020-03-29,2020-03-19,2020-03-27,2020-03-31,,88.89,,,,,3.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,88.89,,,,,,,,,,,,-7,,-7,-2,-1.0,,-7,-3,182.0,49.0,-3,,,,,,,,,,,,1
196,URY,Uruguay,3,,3461734.0,2759.0,7.969994228326035,53.0,0.15310246252311702,2020-03-17,2020-03-30,2020-04-05,2020-04-20,,72.22,,,,,3.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,62.96,,,,,,,,,,,,-16,,-17,,,3,2,-6,87.0,,-3,,,,,,,,,,,,0
197,USA,United States,41,EPI_SECOND_WAVE,328239523.0,8493669.0,258.7643597081391,223995.0,6.824132510087763,2020-03-13,2020-03-01,2020-03-03,2020-03-05,192,77.78,189678.0,,883.0885791926805,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,11.11,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,61.11,18,,18,26,41.0,,,,,143.0,18,158.0,0.0,69.0,49.0,152.0,0.0,0.0,0.0,0.0,50.0,150,3
198,UZB,Uzbekistan,30,EPI_SECOND_WAVE,33580650.0,64811.0,19.30010288663263,542.0,0.16140247434162233,2020-04-01,2020-03-29,2020-04-19,2020-05-04,169,96.3,322.0,220.0,5.574281842514945,4.938222298260767,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,90.74,2.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,69.44,-13,-8,-13,30,-13.0,-2,-5,-13,,-14.0,-13,91.0,48.0,170.0,34.0,86.0,141.0,83.0,95.0,0.0,170.0,170,4
199,VAT,Vatican City,,,,26.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
200,VCT,Saint Vincent and the Grenadines,,,110589.0,73.0,6.601018184448725,0.0,0.0,2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
201,VEN,Venezuela,87,EPI_FIRST_WAVE,28515829.0,88416.0,31.005937088485137,759.0,0.2661679588554133,2020-04-02,2020-03-27,2020-04-05,2020-04-22,211,87.04,758.0,,7.761202720077126,,3.0,3.0,2.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,82.41,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0,0.0,82.41,-11,-11,-15,47,87.0,-14,-14,-9,42.0,,-11,201.0,129.0,201.0,154.0,30.0,194.0,181.0,201.0,159.0,0.0,186,2
202,VGB,British Virgin Islands,128,,30030.0,72.0,23.976023976023978,1.0,0.333000333000333,2020-03-27,2020-04-20,,,,79.63,,,,,3.0,3.0,2.0,4.0,0.0,3.0,0.0,4.0,2.0,2.0,72.22,,,,,,,,,,,,-32,-24,-35,-24,,-26,123,-28,74.0,-52.0,-24,,,,,,,,,,,,0
203,VIR,"Virgin Islands, U.S.",,EPI_FIRST_WAVE,106631.0,1346.0,126.2297080586321,21.0,1.9694085209742007,2020-03-24,2020-04-06,2020-05-12,2020-08-21,188,,19.0,,0.23940184328462405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
204,VNM,Vietnam,-122,EPI_SECOND_WAVE,96462106.0,1148.0,0.1190104640676205,35.0,0.0036283678069396496,2020-07-31,2020-08-01,2020-08-02,2020-08-07,62,96.3,0.0,35.0,-7.97246364927311e-08,1.0566339813209946,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,75.46,3.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,61.11,-185,-127,-175,-122,-126.0,-122,-170,-132,-114.0,-147.0,-128,63.0,26.0,63.0,21.0,28.0,21.0,63.0,34.0,16.0,49.0,30,4
205,WRD,World,,EPI_FIRST_WAVE,,42279076.0,,1145314.0,,,2020-01-11,2020-01-21,2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
206,XKO,Kosovo,,EPI_SECOND_WAVE,,17591.0,,659.0,,,2020-03-23,2020-04-08,2020-04-17,201,,625.0,,11.343480546182152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
207,YEM,Yemen,0,EPI_FIRST_WAVE,29161922.0,2061.0,0.706743540429194,599.0,0.20540484265749012,2020-05-20,2020-05-01,2020-05-07,2020-05-13,193,58.33,599.0,,9.648029923004497,,3.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,58.33,3.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,58.33,-47,,-45,,,0,-1,-44,,,,183.0,0.0,90.0,0.0,0.0,65.0,89.0,183.0,0.0,0.0,0,2
208,ZAF,South Africa,-1,EPI_FIRST_WAVE,58558270.0,712412.0,121.65864872715673,18891.0,3.226017435282839,2020-03-24,2020-03-27,2020-04-01,2020-04-06,206,87.96,16398.0,,174.97960457138225,,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,87.96,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,80.56,-9,-1,-11,144,,-1,-1,-1,35.0,-20.0,-1,82.0,36.0,188.0,33.0,0.0,146.0,145.0,187.0,151.0,206.0,178,2
209,ZMB,Zambia,29,EPI_FIRST_WAVE,17861030.0,16095.0,9.01123843361777,346.0,0.19371783150243854,2020-04-29,2020-04-03,2020-05-10,2020-06-09,204,70.83,345.0,,5.738219263847617,,3.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,2.0,47.22,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,50.93,-14,29,12,12,,12,11,-7,,-8.0,12,59.0,6.0,23.0,41.0,0.0,23.0,24.0,29.0,0.0,194.0,23,2
210,ZWE,Zimbabwe,6,EPI_FIRST_WAVE,14645468.0,8257.0,5.637921574100602,236.0,0.16114199969574206,2020-05-28,2020-03-24,2020-06-21,2020-07-10,192,87.96,227.0,,4.284902210855268,,3.0,0.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,1.0,56.48,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,80.56,0,6,-7,,,6,6,-1,,,3,141.0,67.0,193.0,0.0,0.0,140.0,187.0,193.0,0.0,0.0,186,2
