,countrycode,date,genuine,manual_genuine,number,series_index,value,class,manual_class
135,PRI,2020-06-07,False,False,2,71.0,130.510041231176,2,1
136,PRT,2020-04-06,True,True,1,34.0,738.359624019662,5,2
137,PRT,2020-07-05,True,False,2,124.0,350.3110734091092,5,2
138,PSE,2020-07-22,False,False,2,138.0,432.64190098489445,1,1
139,QAT,2020-05-31,True,True,1,152.0,1789.2964704904566,2,2
140,QAT,2020-08-13,False,False,2,226.0,278.83725271724575,2,2
141,ROU,2020-08-10,False,False,2,223.0,1233.0989976410478,1,3
142,ROU,2020-04-16,False,True,1,107.0,353.8017910287433,1,3
143,RUS,2020-05-12,True,True,1,133.0,10208.120193332676,2,2
144,RWA,2020-08-26,True,False,2,164.0,103.55699446284007,2,1
145,SAU,2020-06-21,True,True,2,110.0,3945.0789262203534,2,2
146,SAU,2020-05-21,False,False,1,79.0,2232.055445612163,2,2
147,SDN,2020-05-27,True,True,1,74.0,180.84642105328717,2,2
148,SDN,2020-08-20,False,False,2,159.0,57.66861064226331,2,2
149,SEN,2020-08-13,True,False,1,163.0,126.88559944390833,2,1
150,SGP,2020-04-26,True,True,1,117.0,797.7102291457351,4,4
151,SGP,2020-07-29,True,True,2,211.0,354.3826619734618,4,4
152,SLV,2020-08-03,True,True,1,137.0,416.45801520642465,2,2
153,SRB,2020-07-23,True,True,2,138.0,386.37547329555906,4,4
154,SRB,2020-04-17,True,True,1,41.0,312.7879676247004,4,4
155,SSD,2020-06-02,True,True,1,57.0,57.72944418590486,2,2
156,SUR,2020-08-14,True,False,1,152.0,85.65867108742624,2,1
157,SWE,2020-06-18,True,True,2,170.0,1051.6703606751387,2,2
158,SWE,2020-04-25,False,False,1,116.0,588.9002240514899,2,2
159,SWE,2020-08-11,False,False,3,224.0,280.1141081114435,2,2
160,SWZ,2020-08-11,True,False,1,149.0,76.05209825846293,2,1
161,SYR,2020-08-22,False,False,1,152.0,74.94865858215022,1,1
162,THA,2020-03-30,True,True,1,90.0,104.33759542368492,2,2
163,TJK,2020-05-24,True,True,1,23.0,164.2921690778257,2,2
164,TUR,2020-04-15,True,True,1,34.0,4143.080613826853,2,2
